Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
HLT,139.57,140.06,0.00 x 900,0.00 x 1400,138.63 - 140.26,108.41 - 167.99,"1,136,356","1,674,151",,,,,,,
IQV,199.93,200.57,192.65 x 1300,0.00 x 900,195.71 - 201.69,165.75 - 254.94,"634,187","989,115",,,,,,,
XEL,67.52,67.53,66.90 x 900,68.81 x 800,67.38 - 68.50,56.89 - 77.66,"2,982,285","3,004,346",,,,,,,
COF,96.32,97.45,0.00 x 900,0.00 x 1200,95.05 - 97.94,86.84 - 144.73,"2,810,550","3,519,805",,,,,,,
SPG,112.42,112.60,0.00 x 800,0.00 x 900,110.15 - 112.74,86.02 - 134.80,"1,228,014","1,701,758",,,,,,,
AFL,64.66,65.10,0.00 x 1000,0.00 x 900,63.46 - 65.10,52.07 - 74.02,"1,790,244","2,719,945",,,,,,,
STZ,225.42,225.29,0.00 x 900,0.00 x 800,217.05 - 226.99,208.12 - 261.52,"2,630,653","1,353,406",,,,,,,
WMB,29.85,29.85,0.00 x 1200,0.00 x 4000,29.28 - 29.93,27.80 - 37.97,"6,507,053","7,395,658",,,,,,,
ILMN,230.02,231.17,0.00 x 1300,0.00 x 900,226.79 - 231.25,173.45 - 370.54,"1,120,874","1,387,871",,,,,,,
PAYX,111.33,111.57,108.49 x 1200,111.98 x 900,108.70 - 112.31,105.66 - 141.92,"2,958,401","1,890,940",,,,,,,
CNC,64.67,64.42,0.00 x 800,0.00 x 900,63.81 - 64.81,61.71 - 98.53,"3,406,106","3,933,815",,,,,,,
OTIS,84.20,84.10,0.00 x 900,0.00 x 900,80.25 - 84.71,62.49 - 87.33,"2,518,696","1,810,270",,,,,,,
ON,81.14,81.51,0.00 x 800,0.00 x 900,77.84 - 81.51,44.76 - 87.55,"5,617,946","7,161,160",,,,,,,
KMI,17.66,17.62,0.00 x 1200,0.00 x 1000,17.34 - 17.74,15.78 - 20.20,"9,332,606","13,254,656",,,,,,,
DVN,53.31,53.30,0.00 x 1200,0.00 x 800,51.50 - 53.52,44.03 - 79.40,"10,212,578","10,555,568",,,,,,,
MTD,"1,530.55","1,530.76",930.77 x 800,0.00 x 800,"1,521.28 - 1,541.82","1,065.55 - 1,609.25","75,177","90,278",,,,,,,
WELL,71.73,71.89,0.00 x 1100,0.00 x 1100,70.08 - 72.06,56.50 - 98.42,"2,102,820","2,323,590",,,,,,,
CMI,238.64,238.88,0.00 x 800,0.00 x 900,229.85 - 239.04,184.28 - 261.91,"756,438","1,052,166",,,,,,,
ED,95.09,95.25,0.00 x 1000,0.00 x 1000,95.10 - 96.37,78.10 - 102.21,"1,478,345","1,881,746",,,,,,,
ROK,291.29,291.90,0.00 x 800,0.00 x 800,277.13 - 293.14,190.08 - 309.36,"743,943","704,543",,,,,,,
AME,144.25,144.06,0.00 x 900,0.00 x 800,138.92 - 144.13,106.17 - 148.06,"920,840","1,024,336",,,,,,,
BK,45.15,45.48,0.00 x 1100,0.00 x 1000,44.24 - 45.50,36.22 - 52.26,"3,007,715","6,041,461",,,,,,,
DD,71.89,71.56,0.00 x 900,0.00 x 800,69.75 - 71.69,49.52 - 78.40,"2,719,648","3,205,783",,,,,,,
PPG,140.04,139.97,0.00 x 900,0.00 x 900,137.97 - 140.18,107.06 - 140.22,"1,848,392","1,478,980",,,,,,,
WBD,14.81,15.00,0.00 x 3100,0.00 x 3200,14.80 - 15.18,8.82 - 27.50,"15,541,797","19,632,901",,,,,,,
VICI,32.49,32.59,0.00 x 900,0.00 x 1200,32.04 - 32.62,26.42 - 35.69,"9,577,080","6,546,223",,,,,,,
AMP,306.27,308.61,291.29 x 1000,298.73 x 800,296.70 - 309.38,219.99 - 357.46,"514,969","632,428",,,,,,,
KR,49.94,49.80,0.00 x 900,0.00 x 1200,49.28 - 49.97,41.82 - 62.78,"3,928,455","5,488,615",,,,,,,
CPRT,75.48,75.49,0.00 x 800,0.00 x 1100,75.14 - 76.22,51.10 - 76.22,"2,542,320","1,954,113",,,,,,,
RMD,219.17,219.84,0.00 x 2200,0.00 x 800,219.84 - 222.16,189.40 - 253.67,"412,028","638,533",,,,,,,
FIS,54.09,54.25,0.00 x 1200,0.00 x 1100,52.89 - 54.28,48.57 - 106.65,"6,923,525","6,717,945",,,,,,,
EA,121.35,121.43,0.00 x 900,0.00 x 900,121.23 - 125.47,108.53 - 142.79,"3,303,364","2,591,373",,,,,,,
CTSH,61.37,61.41,0.00 x 1000,0.00 x 800,59.84 - 61.56,51.33 - 89.32,"3,561,491","4,734,031",,,,,,,
DLTR,148.01,148.10,0.00 x 800,0.00 x 800,147.66 - 149.07,124.76 - 177.19,"1,562,586","2,330,968",,,,,,,
HAL,34.10,34.25,0.00 x 3100,0.00 x 1400,32.88 - 34.40,23.30 - 43.99,"13,209,910","9,709,303",,,,,,,
KHC,38.85,38.81,0.00 x 1800,0.00 x 1400,38.17 - 38.90,32.73 - 44.87,"7,106,612","6,733,626",,,,,,,
GWW,683.17,681.97,652.80 x 800,787.98 x 800,652.80 - 686.70,440.48 - 709.21,"325,204","295,243",,,,,,,
FAST,53.83,54.42,0.00 x 1100,0.00 x 1400,52.72 - 54.51,43.73 - 59.83,"3,162,342","3,305,716",,,,,,,
DHI,98.12,97.84,0.00 x 900,0.00 x 800,96.72 - 98.43,59.25 - 104.14,"3,067,601","2,991,140",,,,,,,
PEG,61.31,61.31,0.00 x 800,0.00 x 900,60.81 - 61.64,52.51 - 75.61,"1,890,656","2,518,475",,,,,,,
PRU,82.43,84.40,0.00 x 800,0.00 x 800,81.62 - 84.52,75.37 - 122.54,"2,839,592","2,393,786",,,,,,,
ALL,114.25,114.45,0.00 x 900,0.00 x 800,111.59 - 114.98,103.20 - 144.46,"1,392,368","1,987,201",,,,,,,
ODFL,334.21,334.76,0.00 x 800,0.00 x 800,326.88 - 334.76,231.31 - 381.81,"699,618","790,593",,,,,,,
VRSK,191.58,191.11,0.00 x 900,0.00 x 900,189.99 - 192.72,156.05 - 222.11,"661,968","1,099,766",,,,,,,
KDP,35.39,35.42,0.00 x 4000,0.00 x 3000,35.24 - 35.45,33.35 - 41.31,"6,334,106","7,691,025",,,,,,,
BKR,29.91,29.94,0.00 x 1200,0.00 x 1200,28.96 - 30.09,20.42 - 38.66,"4,840,648","6,800,346",,,,,,,
APTV,110.49,110.36,0.00 x 800,0.00 x 800,106.80 - 111.04,77.96 - 124.88,"1,509,678","1,841,613",,,,,,,
WEC,94.27,94.27,0.00 x 900,0.00 x 800,93.99 - 94.97,80.82 - 108.39,"974,984","1,378,398",,,,,,,
GEHC,81.81,82.00,0.00 x 1100,0.00 x 2900,81.49 - 82.15,53.00 - 82.62,"1,552,563","2,698,206",,,,,,,
OKE,65.06,65.55,0.00 x 1200,0.00 x 800,64.10 - 66.18,50.50 - 75.07,"3,608,546","2,568,673",,,,,,,
KEYS,161.07,161.36,0.00 x 2200,0.00 x 800,156.51 - 161.77,127.93 - 189.45,"1,707,338","1,178,128",,,,,,,
ANSS,329.40,330.72,0.00 x 900,0.00 x 800,327.21 - 332.80,194.23 - 333.89,"400,966","513,088",,,,,,,
ULTA,551.19,551.19,0.00 x 900,0.00 x 1000,545.60 - 553.06,330.80 - 553.06,"633,382","582,410",,,,,,,
AWK,145.44,145.59,0.00 x 800,0.00 x 1200,145.22 - 147.79,122.77 - 173.87,"755,401","1,241,628",,,,,,,
CSGP,68.77,68.46,0.00 x 800,0.00 x 800,67.66 - 68.96,53.51 - 85.37,"2,150,787","2,208,535",,,,,,,
RSG,136.13,136.14,0.00 x 800,0.00 x 1000,135.21 - 136.68,119.72 - 149.17,"1,271,648","1,561,256",,,,,,,
GPN,105.25,105.98,0.00 x 1000,0.00 x 800,103.03 - 106.09,92.27 - 146.71,"1,904,085","1,825,163",,,,,,,
ENPH,202.60,202.89,0.00 x 900,0.00 x 1000,198.65 - 203.20,128.67 - 339.92,"2,164,091","4,309,318",,,,,,,
SBAC,255.03,255.15,0.00 x 800,0.00 x 900,254.03 - 257.57,236.20 - 379.99,"574,834","841,756",,,,,,,
ES,77.41,77.57,0.00 x 800,0.00 x 1300,77.31 - 78.22,70.54 - 94.63,"998,462","1,815,663",,,,,,,
URI,389.07,390.15,0.00 x 1000,0.00 x 800,354.64 - 390.15,230.54 - 481.99,"1,970,378","881,131",,,,,,,
EIX,70.54,70.34,0.00 x 900,72.00 x 800,69.79 - 70.69,54.45 - 73.32,"1,480,765","2,106,910",,,,,,,
ZBH,128.04,128.38,0.00 x 800,0.00 x 1300,127.39 - 128.67,100.39 - 135.05,"1,230,827","1,420,401",,,,,,,
LEN,105.25,105.26,0.00 x 1100,0.00 x 1100,103.04 - 105.43,62.54 - 109.28,"1,554,704","2,282,140",,,,,,,
TSCO,241.66,241.60,0.00 x 800,0.00 x 800,237.02 - 241.98,166.49 - 242.02,"807,716","1,045,365",,,,,,,
DLR,93.32,93.13,0.00 x 1000,0.00 x 1100,91.79 - 93.53,85.76 - 153.50,"3,137,817","2,259,285",,,,,,,
GLW,34.95,34.97,0.00 x 900,0.00 x 1800,34.29 - 34.98,28.98 - 37.73,"3,218,742","4,358,521",,,,,,,
FANG,144.43,145.69,0.00 x 1100,0.00 x 1100,139.24 - 145.62,103.71 - 168.95,"2,252,058","2,448,956",,,,,,,
DFS,98.82,100.24,0.00 x 1000,0.00 x 900,97.43 - 100.40,87.64 - 121.17,"1,804,766","2,542,791",,,,,,,
STT,75.46,75.91,0.00 x 900,0.00 x 1000,73.96 - 76.14,58.62 - 94.74,"2,260,229","3,041,026",,,,,,,
ABC,162.28,162.10,0.00 x 900,0.00 x 1300,161.02 - 163.12,135.14 - 174.63,"820,883","1,294,111",,,,,,,
CDW,193.69,194.14,0.00 x 800,0.00 x 1200,187.84 - 194.14,147.91 - 215.00,"616,902","837,398",,,,,,,
PCG,16.19,16.29,0.00 x 3200,0.00 x 3200,16.04 - 16.29,9.64 - 16.83,"15,076,085","14,670,241",,,,,,,
HPQ,29.89,29.94,0.00 x 2200,0.00 x 1100,29.40 - 30.08,24.08 - 41.47,"5,030,374","6,331,606",,,,,,,
WST,347.04,348.24,0.00 x 800,0.00 x 1000,347.44 - 351.33,206.19 - 424.00,"329,663","597,603",,,,,,,
IT,324.71,324.06,251.21 x 800,376.89 x 900,311.87 - 324.23,221.39 - 358.25,"642,417","455,876",,,,,,,
ALB,218.43,216.94,0.00 x 1300,0.00 x 1100,207.20 - 216.94,185.15 - 334.55,"2,210,968","1,675,691",,,,,,,
WBA,35.46,35.61,0.00 x 2900,0.00 x 1300,35.45 - 35.94,30.39 - 47.28,"7,082,013","6,871,428",,,,,,,
ACGL,68.61,68.65,67.87 x 800,67.84 x 800,67.18 - 68.83,41.05 - 72.28,"2,634,719","2,124,736",,,,,,,
WTW,233.35,233.58,0.00 x 900,0.00 x 1000,229.84 - 234.76,187.89 - 258.93,"436,828","551,368",,,,,,,
TROW,112.35,112.83,0.00 x 800,0.00 x 800,110.33 - 113.43,93.53 - 153.01,"1,104,796","1,807,348",,,,,,,
CEG,76.62,76.67,0.00 x 800,0.00 x 1000,75.12 - 76.97,52.64 - 97.89,"1,316,171","2,164,276",,,,,,,
EFX,202.24,203.24,0.00 x 800,250.00 x 800,199.91 - 203.75,145.98 - 234.14,"470,500","807,620",,,,,,,
LYB,95.20,94.89,0.00 x 1000,0.00 x 800,92.66 - 95.14,71.46 - 117.22,"2,340,501","2,137,241",,,,,,,
EBAY,44.28,44.62,0.00 x 1200,0.00 x 1200,43.83 - 44.62,35.92 - 56.23,"3,447,251","4,914,693",,,,,,,
FTV,67.80,67.78,0.00 x 800,0.00 x 800,65.00 - 67.85,52.47 - 69.78,"1,987,708","1,932,038",,,,,,,
GPC,168.28,168.26,0.00 x 800,0.00 x 800,163.77 - 168.64,125.32 - 187.73,"721,659","1,201,505",,,,,,,
ALGN,327.35,329.50,0.00 x 1100,0.00 x 1100,325.08 - 332.98,172.05 - 431.27,"489,998","1,060,646",,,,,,,
PWR,165.79,166.35,0.00 x 1200,0.00 x 1100,161.89 - 166.89,106.33 - 168.75,"800,936","938,483",,,,,,,
IR,58.29,58.17,0.00 x 800,0.00 x 900,54.88 - 58.17,39.28 - 60.39,"3,527,713","2,445,680",,,,,,,
AVB,167.08,167.62,0.00 x 800,0.00 x 800,164.18 - 168.17,153.07 - 258.81,"512,643","876,813",,,,,,,
IFF,90.60,90.41,0.00 x 1000,0.00 x 1000,89.68 - 90.90,81.53 - 135.17,"1,379,106","2,198,381",,,,,,,
CBRE,72.77,73.11,0.00 x 1000,0.00 x 900,70.62 - 73.17,66.31 - 90.37,"2,345,983","1,630,973",,,,,,,
VMC,172.93,172.88,0.00 x 900,173.11 x 1000,168.32 - 173.30,137.54 - 197.76,"903,171","806,883",,,,,,,
HIG,70.12,70.92,0.00 x 1000,0.00 x 1400,68.22 - 71.10,60.17 - 79.44,"1,544,765","2,291,275",,,,,,,
AEE,86.16,86.38,0.00 x 1200,0.00 x 800,85.99 - 86.66,73.28 - 99.20,"1,000,566","1,440,898",,,,,,,
PODD,318.84,319.99,0.00 x 1000,0.00 x 900,317.14 - 321.85,181.00 - 326.74,"537,740","846,263",,,,,,,
WY,30.00,30.06,0.00 x 1800,0.00 x 900,29.76 - 30.10,27.37 - 42.86,"2,859,372","4,412,501",,,,,,,
MLM,356.00,356.76,0.00 x 900,0.00 x 800,346.84 - 356.76,284.99 - 386.73,"413,886","389,298",,,,,,,
MPWR,492.97,493.58,0.00 x 800,0.00 x 1000,478.70 - 495.08,301.69 - 541.39,"295,852","516,266",,,,,,,
DAL,34.39,34.57,0.00 x 2200,0.00 x 800,33.50 - 34.70,27.20 - 46.27,"8,426,029","10,157,075",,,,,,,
ETR,107.18,107.18,0.00 x 800,0.00 x 800,106.86 - 107.81,94.94 - 126.82,"522,964","1,434,825",,,,,,,
CHD,88.87,89.19,0.00 x 1000,0.00 x 800,88.69 - 89.85,70.16 - 105.28,"919,302","1,373,466",,,,,,,
FE,39.80,39.81,0.00 x 900,0.00 x 1800,39.60 - 40.15,35.32 - 48.85,"2,087,909","3,974,090",,,,,,,
DTE,108.99,109.04,0.00 x 900,0.00 x 1100,108.30 - 109.33,100.64 - 140.23,"1,258,521","1,247,488",,,,,,,
MKC,84.32,84.78,0.00 x 800,0.00 x 800,84.31 - 85.30,70.60 - 105.19,"1,825,399","1,530,888",,,,,,,
DOV,150.52,150.58,0.00 x 800,0.00 x 800,144.18 - 150.58,114.49 - 160.66,"662,138","898,656",,,,,,,
HPE,16.33,16.35,0.00 x 21500,0.00 x 3200,15.96 - 16.40,11.90 - 17.25,"12,607,663","13,811,156",,,,,,,
TDY,445.59,445.15,0.00 x 800,505.00 x 1000,437.08 - 445.15,325.00 - 493.97,"134,695","183,336",,,,,,,
EXR,154.51,156.98,0.00 x 900,0.00 x 1100,155.55 - 160.87,139.97 - 222.36,"5,025,732","1,227,981",,,,,,,
FSLR,208.49,207.32,0.00 x 800,0.00 x 900,205.79 - 209.38,59.60 - 219.55,"1,158,389","2,492,685",,,,,,,
LH,230.49,230.90,227.59 x 1000,0.00 x 800,230.25 - 232.00,200.32 - 280.72,"580,931","617,233",,,,,,,
EQR,59.63,59.87,0.00 x 800,0.00 x 1100,58.50 - 59.87,54.60 - 94.32,"1,414,908","2,327,851",,,,,,,
PPL,27.58,27.56,0.00 x 3200,0.00 x 3100,27.32 - 27.57,23.47 - 31.74,"4,490,709","5,761,688",,,,,,,
BAX,39.98,39.97,0.00 x 1800,0.00 x 1400,39.67 - 40.69,37.35 - 80.58,"7,970,161","6,664,773",,,,,,,
MTB,118.74,120.23,0.00 x 1000,0.00 x 1100,115.25 - 120.32,110.00 - 193.42,"1,462,597","1,942,150",,,,,,,
HOLX,80.58,80.72,0.00 x 1400,0.00 x 800,80.61 - 81.71,59.78 - 86.65,"1,024,012","1,582,868",,,,,,,
CAH,76.71,76.71,0.00 x 1000,0.00 x 900,76.21 - 77.07,49.70 - 81.57,"2,293,904","2,559,255",,,,,,,
CTRA,25.12,25.19,0.00 x 3200,0.00 x 3000,24.73 - 25.19,22.25 - 36.55,"7,608,584","9,422,533",,,,,,,
VRSN,213.34,213.36,0.00 x 800,0.00 x 800,212.26 - 213.96,155.25 - 224.56,"528,297","592,098",,,,,,,
ARE,124.36,124.97,0.00 x 1000,0.00 x 800,122.15 - 125.12,114.95 - 206.65,"713,723","1,119,176",,,,,,,
OMC,95.20,95.32,0.00 x 800,0.00 x 1000,94.71 - 96.20,61.31 - 96.52,"2,381,338","1,940,870",,,,,,,
CLX,156.75,157.55,0.00 x 800,0.00 x 800,155.80 - 158.17,120.50 - 160.59,"1,064,356","1,228,533",,,,,,,
LVS,58.72,58.12,0.00 x 800,0.00 x 800,57.01 - 58.23,28.88 - 60.99,"3,206,673","4,971,841",,,,,,,
STE,190.52,191.27,0.00 x 800,0.00 x 800,190.21 - 192.76,159.21 - 255.93,"315,789","550,061",,,,,,,
XYL,104.46,105.18,0.00 x 900,0.00 x 1100,100.42 - 105.18,72.08 - 118.58,"2,342,773","1,736,735",,,,,,,
TTWO,118.69,119.12,0.00 x 800,0.00 x 1000,118.75 - 121.84,90.00 - 152.00,"1,604,464","1,781,651",,,,,,,
LUV,31.69,31.96,0.00 x 1300,0.00 x 1800,31.30 - 32.03,28.95 - 50.10,"4,623,370","6,747,960",,,,,,,
DRI,153.89,154.00,0.00 x 800,0.00 x 800,152.72 - 154.73,110.96 - 155.90,"1,385,842","1,287,888",,,,,,,
STLD,113.17,112.33,0.00 x 1000,0.00 x 800,101.93 - 113.13,62.44 - 136.46,"2,819,978","1,864,573",,,,,,,
SWKS,117.39,117.65,0.00 x 800,0.00 x 800,113.33 - 117.73,76.16 - 127.69,"1,481,495","1,846,791",,,,,,,
CNP,29.35,29.39,0.00 x 1300,0.00 x 1400,29.18 - 29.48,25.03 - 33.50,"2,206,116","3,947,853",,,,,,,
NDAQ,54.40,54.43,0.00 x 3000,0.00 x 1100,54.24 - 54.94,46.77 - 69.22,"2,515,985","2,532,876",,,,,,,
WAT,307.46,308.40,0.00 x 800,0.00 x 800,301.70 - 308.59,265.61 - 369.00,"324,973","373,436",,,,,,,
NTRS,87.72,87.60,0.00 x 800,0.00 x 1000,86.42 - 87.99,76.15 - 116.58,"911,783","1,226,826",,,,,,,
WAB,100.85,100.84,0.00 x 1000,0.00 x 1000,97.25 - 101.24,78.26 - 107.86,"731,180","972,745",,,,,,,
COO,368.38,368.84,0.00 x 800,0.00 x 900,367.26 - 371.50,244.22 - 424.36,"232,886","311,528",,,,,,,
FITB,26.40,26.53,0.00 x 800,0.00 x 900,25.24 - 26.57,22.11 - 41.87,"9,332,302","9,096,786",,,,,,,
INVH,31.19,31.36,0.00 x 1000,0.00 x 800,30.84 - 31.40,28.52 - 44.36,"2,397,241","3,234,275",,,,,,,
CINF,112.43,112.49,0.00 x 800,0.00 x 1100,109.70 - 112.49,88.66 - 143.22,"385,690","799,383",,,,,,,
CMS,61.04,61.14,0.00 x 800,0.00 x 900,60.70 - 61.39,52.41 - 73.76,"2,202,676","1,887,225",,,,,,,
RJF,92.10,92.49,88.16 x 800,0.00 x 800,88.93 - 92.79,84.86 - 126.00,"1,599,799","1,592,670",,,,,,,
CAG,37.44,37.48,0.00 x 1400,0.00 x 3000,37.18 - 37.67,31.02 - 41.30,"6,236,607","4,391,411",,,,,,,
RF,18.58,18.68,0.00 x 900,0.00 x 4000,17.97 - 18.69,13.94 - 24.33,"11,519,602","11,934,381",,,,,,,
FICO,689.84,689.08,0.00 x 800,0.00 x 1100,682.59 - 691.50,340.48 - 711.85,"205,005","292,715",,,,,,,
MAA,149.82,150.21,0.00 x 800,0.00 x 800,148.00 - 150.21,138.68 - 217.64,"476,022","789,186",,,,,,,
TSN,59.41,59.63,0.00 x 1100,0.00 x 1000,58.88 - 59.69,55.81 - 99.54,"2,181,934","3,190,441",,,,,,,
BALL,55.08,55.04,0.00 x 1100,0.00 x 800,53.81 - 55.04,46.00 - 89.89,"1,815,705","1,766,346",,,,,,,
EXPD,108.32,108.41,0.00 x 1000,0.00 x 1400,105.85 - 108.41,86.08 - 119.90,"972,614","1,437,526",,,,,,,
IEX,229.23,229.44,221.26 x 800,221.34 x 800,221.07 - 229.44,172.19 - 246.23,"330,251","380,718",,,,,,,
K,67.11,67.20,0.00 x 1000,0.00 x 900,66.89 - 67.48,63.74 - 77.17,"1,495,279","2,206,656",,,,,,,
VTR,42.66,42.94,0.00 x 900,0.00 x 800,41.85 - 42.95,35.33 - 62.33,"3,473,084","2,207,176",,,,,,,
BR,145.20,145.64,0.00 x 800,0.00 x 800,142.96 - 146.38,131.35 - 183.33,"484,964","570,911",,,,,,,
EPAM,297.22,298.91,0.00 x 800,0.00 x 800,288.45 - 298.91,260.68 - 462.99,"352,479","448,966",,,,,,,
TRGP,75.41,75.25,0.00 x 800,0.00 x 900,73.24 - 75.64,55.56 - 81.50,"1,609,035","1,638,276",,,,,,,
AMCR,11.30,11.32,11.16 x 3200,0.00 x 2900,11.17 - 11.35,10.42 - 13.61,"6,536,341","8,156,140",,,,,,,
SJM,157.64,158.08,0.00 x 900,0.00 x 900,155.52 - 158.29,119.82 - 163.07,"858,889","971,658",,,,,,,
NVR,"5,576.70","5,582.00",0.00 x 1000,0.00 x 900,"5,480.05 - 5,620.00","3,576.01 - 5,620.00","19,802","22,466",,,,,,,
PFG,73.64,74.20,0.00 x 800,0.00 x 800,71.79 - 74.22,61.05 - 96.17,"1,646,654","1,945,915",,,,,,,
MRO,26.33,26.66,0.00 x 2900,0.00 x 1400,25.38 - 26.68,19.42 - 33.42,"18,119,449","10,683,758",,,,,,,
SEDG,298.31,296.88,0.00 x 900,0.00 x 800,291.39 - 299.60,190.15 - 375.90,"1,021,474","1,153,995",,,,,,,
TER,106.80,106.91,0.00 x 900,0.00 x 900,102.73 - 107.31,67.81 - 117.42,"1,502,527","1,645,796",,,,,,,
PKI,131.37,131.96,0.00 x 800,0.00 x 900,130.99 - 133.51,113.46 - 174.10,"609,184","884,993",,,,,,,
DGX,142.67,143.17,0.00 x 900,0.00 x 1300,141.11 - 143.21,120.40 - 158.34,"946,620","1,199,658",,,,,,,
ZBRA,311.65,312.12,302.33 x 1000,315.50 x 800,303.44 - 312.12,224.87 - 427.02,"347,426","362,600",,,,,,,
HBAN,11.17,11.23,0.00 x 21500,0.00 x 1300,10.73 - 11.25,9.94 - 15.74,"17,010,625","20,474,120",,,,,,,
FDS,416.06,417.17,0.00 x 900,0.00 x 800,409.10 - 420.64,345.92 - 474.13,"284,203","240,001",,,,,,,
AES,23.82,23.90,0.00 x 1300,0.00 x 1300,23.58 - 23.94,18.62 - 29.89,"2,635,270","4,412,493",,,,,,,
ATO,111.11,111.24,0.00 x 1800,0.00 x 1100,110.46 - 112.09,97.71 - 122.96,"830,041","812,235",,,,,,,
MOS,46.56,46.50,0.00 x 800,0.00 x 800,44.79 - 46.50,41.16 - 79.28,"4,195,812","4,325,781",,,,,,,
HWM,42.97,42.80,0.00 x 1000,0.00 x 1800,41.65 - 42.91,29.84 - 44.37,"2,327,792","3,072,683",,,,,,,
BBY,78.51,78.51,0.00 x 1200,0.00 x 1200,77.63 - 78.99,60.79 - 98.18,"2,149,510","2,405,535",,,,,,,
MOH,272.00,271.21,0.00 x 800,0.00 x 800,270.75 - 273.20,249.78 - 374.00,"497,485","506,315",,,,,,,
FLT,211.57,212.95,180.00 x 1200,262.90 x 800,206.24 - 213.20,161.69 - 265.30,"420,242","610,475",,,,,,,
GRMN,100.72,100.49,0.00 x 1300,0.00 x 900,99.60 - 100.86,76.37 - 117.20,"593,936","987,171",,,,,,,
IRM,53.01,53.00,0.00 x 800,0.00 x 900,52.31 - 53.10,43.33 - 58.61,"1,174,080","1,511,216",,,,,,,
FMC,122.71,122.09,0.00 x 1100,0.00 x 800,120.81 - 123.16,98.24 - 140.99,"737,999","784,500",,,,,,,
J,117.62,117.65,0.00 x 1000,0.00 x 800,113.22 - 117.67,106.78 - 150.32,"480,277","667,985",,,,,,,
TXT,70.93,71.00,0.00 x 900,0.00 x 800,68.79 - 71.00,57.11 - 76.11,"1,263,599","1,444,966",,,,,,,
LW,104.22,104.46,0.00 x 800,0.00 x 1000,102.30 - 104.50,59.40 - 104.99,"1,964,170","1,338,710",,,,,,,
CFG,30.20,30.50,0.00 x 2900,0.00 x 1200,28.81 - 30.52,28.79 - 45.34,"9,443,681","6,212,078",,,,,,,
TYL,354.01,355.84,0.00 x 800,0.00 x 1100,353.51 - 359.45,281.11 - 440.07,"226,079","290,695",,,,,,,
IPG,37.57,37.69,0.00 x 1000,0.00 x 2900,37.19 - 37.96,25.14 - 39.52,"3,060,298","3,494,776",,,,,,,
AVY,178.36,178.64,174.61 x 800,174.68 x 800,174.01 - 178.76,151.62 - 204.37,"419,872","504,121",,,,,,,
MKTX,389.16,388.18,0.00 x 900,0.00 x 900,386.14 - 399.78,217.44 - 399.78,"349,304","358,710",,,,,,,
BG,96.66,97.04,0.00 x 900,0.00 x 800,93.93 - 97.04,80.41 - 128.40,"1,544,135","1,922,230",,,,,,,
PAYC,298.62,300.62,0.00 x 800,0.00 x 900,291.13 - 300.75,255.82 - 402.78,"345,140","520,925",,,,,,,
CF,73.67,72.98,0.00 x 1000,0.00 x 1100,71.26 - 73.02,67.95 - 119.60,"2,080,888","2,890,280",,,,,,,
JBHT,173.42,173.65,0.00 x 800,0.00 x 800,170.55 - 173.71,153.92 - 200.64,"580,701","729,930",,,,,,,
LKQ,56.70,56.85,0.00 x 800,0.00 x 1000,55.33 - 56.88,43.37 - 59.33,"1,040,255","1,712,631",,,,,,,
RE,361.95,364.10,0.00 x 1200,570.68 x 800,352.64 - 364.10,244.58 - 395.00,"146,901","297,528",,,,,,,
UAL,43.35,43.84,0.00 x 800,0.00 x 2200,42.18 - 43.90,31.58 - 55.04,"5,850,281","8,611,946",,,,,,,
CBOE,134.56,134.18,0.00 x 800,0.00 x 1200,134.18 - 135.82,103.82 - 135.82,"491,961","706,086",,,,,,,
EXPE,95.07,95.59,0.00 x 900,0.00 x 900,92.96 - 95.83,82.39 - 196.78,"1,434,727","2,702,488",,,,,,,
MGM,44.25,44.54,0.00 x 900,0.00 x 800,43.03 - 44.63,26.41 - 46.24,"3,031,915","4,265,278",,,,,,,
RCL,64.25,64.95,0.00 x 800,0.00 x 800,62.06 - 64.95,31.09 - 87.68,"2,529,213","3,865,973",,,,,,,
NTAP,64.19,64.27,0.00 x 800,0.00 x 800,62.76 - 64.37,58.08 - 81.00,"2,217,193","1,884,493",,,,,,,
EVRG,60.45,60.35,0.00 x 1100,0.00 x 900,60.12 - 61.06,54.12 - 73.13,"1,012,739","1,433,071",,,,,,,
PTC,128.07,127.88,0.00 x 900,0.00 x 1000,126.98 - 128.66,96.55 - 139.91,"367,777","725,911",,,,,,,
PHM,59.00,58.87,0.00 x 800,0.00 x 800,58.00 - 59.24,35.03 - 60.89,"2,073,340","2,687,445",,,,,,,
BRO,57.65,57.97,0.00 x 800,0.00 x 800,57.07 - 58.26,52.82 - 73.86,"920,215","1,160,693",,,,,,,
ETSY,108.25,114.71,0.00 x 1300,0.00 x 800,109.29 - 114.73,67.01 - 149.91,"4,973,456","3,245,036",,,,,,,
INCY,72.66,72.48,0.00 x 900,0.00 x 800,72.18 - 72.84,65.07 - 86.29,"1,157,060","1,636,983",,,,,,,
ESS,208.34,209.54,0.00 x 800,0.00 x 800,205.24 - 209.54,195.03 - 363.36,"335,668","549,208",,,,,,,
