#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
214,Otis Worldwide Corporation,OTIS,0.101283,81.07,0.57,(0.71%),2023-03-27,"578,615",2.96,3.84,27.18,20.95,1.44%,34.01B
215,ON Semiconductor Corporation,ON,0.101017,75.86,-1.95,(-2.51%),2023-03-27,"2,600,835",4.25,5.15,18.31,15.12,-,34.56B
216,Kinder Morgan Inc Class P,KMI,0.099764,16.98,0.19,(1.16%),2023-03-27,"7,411,543",1.12,1.17,14.96,14.34,6.61%,38.37B
217,Mettler-Toledo International Inc.,MTD,0.09782,1160.73,-299.0,(-20.48%),2023-03-27,"42,347",38.46,49.02,37.95,29.78,-,32.60B
218,AMETEK Inc.,AME,0.096386,139.87,0.55,(0.39%),2023-03-27,"352,812",5.01,6.43,27.81,21.66,0.72%,32.28B
219,Kroger Co.,KR,0.096118,49.05,-0.0,(-0.00%),2023-03-27,"2,496,165",3.06,4.49,16.02,10.92,2.12%,35.38B
220,Welltower Inc.,WELL,0.095904,67.9,0.42,(0.62%),2023-03-27,"737,733",0.28,1.17,244.49,57.87,3.62%,34.12B
221,Rockwell Automation Inc.,ROK,0.095602,278.68,1.08,(0.39%),2023-03-27,"346,592",9.23,12.31,30.08,22.54,1.70%,32.95B
222,Cummins Inc.,CMI,0.095307,226.36,2.46,(1.10%),2023-03-27,"282,962",15.12,19.22,14.81,11.65,2.80%,32.59B
223,DuPont de Nemours Inc.,DD,0.094674,66.41,-2.19,(-3.20%),2023-03-27,"1,015,526",2.01,4.38,34.10,15.68,2.10%,32.22B
224,Electronic Arts Inc.,EA,0.094243,118.38,-0.66,(-0.55%),2023-03-27,"1,393,205",3.71,6.54,32.13,18.21,0.64%,32.69B
225,Bank of New York Mellon Corp,BK,0.094217,43.76,1.01,(2.36%),2023-03-27,"2,905,130",2.90,5.43,14.74,7.87,3.46%,35.65B
226,VICI Properties Inc,VICI,0.093913,31.61,0.55,(1.75%),2023-03-27,"1,992,758",1.25,2.45,24.79,12.68,5.02%,31.65B
227,ResMed Inc.,RMD,0.09366,243.0,30.42,(14.31%),2023-03-27,"268,597",5.50,7.29,38.64,29.16,0.83%,31.86B
228,Ameriprise Financial Inc.,AMP,0.093265,301.11,9.67,(3.32%),2023-03-27,"361,169",22.45,33.46,12.98,8.71,1.72%,31.41B
229,Warner Bros. Discovery Inc. Series A,WBD,0.0932,14.37,0.37,(2.61%),2023-03-27,"6,040,066",-2.62,0.94,-,14.81,-,33.59B
230,Copart Inc.,CPRT,0.092063,72.76,1.33,(1.86%),2023-03-27,"1,002,379",2.25,2.63,31.82,27.18,-,34.18B
231,Devon Energy Corporation,DVN,0.091391,48.56,1.99,(4.27%),2023-03-27,"1,274,442",9.12,7.29,5.10,6.39,10.87%,30.54B
232,D.R. Horton Inc.,DHI,0.091239,92.35,-4.58,(-4.73%),2023-03-27,"1,231,895",16.13,9.41,6.01,10.30,1.03%,33.50B
233,Kraft Heinz Company,KHC,0.091134,38.71,0.53,(1.40%),2023-03-27,"3,372,297",1.91,2.87,19.95,13.32,4.19%,47.45B
234,Cognizant Technology Solutions Corporation Class A,CTSH,0.090928,59.25,0.6,(1.03%),2023-03-27,"1,811,558",4.42,4.88,13.28,12.01,1.98%,30.19B
235,W.W. Grainger Inc.,GWW,0.090051,669.19,5.59,(0.84%),2023-03-27,"122,849",30.28,36.37,21.92,18.25,1.04%,34.21B
236,Fastenal Company,FAST,0.089937,52.48,0.18,(0.35%),2023-03-27,"781,827",1.89,2.12,27.70,24.67,2.68%,30.00B
237,Old Dominion Freight Line Inc.,ODFL,0.089775,334.83,5.33,(1.62%),2023-03-27,"379,392",12.18,13.34,27.04,24.70,0.49%,36.90B
238,Keurig Dr Pepper Inc.,KDP,0.088776,35.35,0.48,(1.36%),2023-03-27,"2,003,603",1.01,1.92,34.59,18.15,2.29%,49.38B
239,Fidelity National Information Services Inc.,FIS,0.088699,50.6,0.9,(1.80%),2023-03-27,"3,959,989",-28.27,6.46,-,7.69,4.19%,29.71B
240,WEC Energy Group Inc,WEC,0.088434,92.99,-0.23,(-0.24%),2023-03-27,"835,119",4.45,4.90,20.93,19.03,3.35%,29.60B
241,PPG Industries Inc.,PPG,0.088357,120.99,-4.45,(-3.55%),2023-03-27,"668,109",4.34,7.76,28.93,16.17,1.98%,30.50B
242,Public Service Enterprise Group Inc,PEG,0.088224,59.28,0.5,(0.85%),2023-03-27,"934,549",2.06,3.71,28.55,15.84,3.88%,29.64B
243,Verisk Analytics Inc,VRSK,0.087834,185.46,-1.23,(-0.66%),2023-03-27,"448,478",6.52,6.37,28.64,29.29,0.73%,29.01B
244,Aptiv PLC,APTV,0.08735,108.23,1.05,(0.98%),2023-03-27,"714,307",1.96,6.27,54.77,17.09,-,30.40B
245,Dollar Tree Inc.,DLTR,0.086926,138.56,1.17,(0.85%),2023-03-27,"1,057,114",7.20,7.93,19.07,17.32,-,30.81B
246,Prudential Financial Inc.,PRU,0.08586,79.6,2.02,(2.60%),2023-03-27,"1,408,043",-3.94,12.93,-,6.00,6.44%,29.91B
247,Keysight Technologies Inc,KEYS,0.084531,155.83,-0.87,(-0.56%),2023-03-27,"222,484",6.37,8.53,24.62,18.38,-,27.96B
248,Allstate Corporation,ALL,0.084221,107.1,1.51,(1.43%),2023-03-27,"535,040",-5.33,13.29,-,7.94,3.37%,29.65B
249,GE Healthcare Technologies Inc.,GEHC,0.08349,76.88,0.42,(0.54%),2023-03-27,"651,469",4.18,-,18.28,-,-,35.06B
250,SBA Communications Corp. Class A,SBAC,0.083398,251.94,-4.47,(-1.74%),2023-03-27,"398,506",4.22,5.86,60.80,43.78,1.33%,27.97B
251,ANSYS Inc.,ANSS,0.082843,317.32,1.62,(0.51%),2023-03-27,"225,953",5.99,9.58,52.73,32.97,-,27.76B
252,American Water Works Company Inc.,AWK,0.082454,143.13,1.29,(0.91%),2023-03-27,"571,728",4.50,5.14,31.49,27.60,1.85%,27.77B
253,CoStar Group Inc.,CSGP,0.082126,68.51,1.37,(2.03%),2023-03-27,"1,808,727",0.93,1.39,72.43,48.34,-,27.65B
254,Baker Hughes Company Class A,BKR,0.081373,27.52,0.5,(1.83%),2023-03-27,"3,945,447",-0.60,2.06,-,13.12,2.81%,27.71B
255,Digital Realty Trust Inc.,DLR,0.081276,94.13,-0.25,(-0.26%),2023-03-27,"1,081,325",1.15,1.28,81.92,73.44,5.17%,28.13B
256,Halliburton Company,HAL,0.080844,30.65,1.05,(3.55%),2023-03-27,"4,539,235",1.73,3.65,17.12,8.11,2.16%,27.70B
257,Republic Services Inc.,RSG,0.080596,130.7,-0.22,(-0.17%),2023-03-27,"382,809",4.69,5.78,27.90,22.65,1.51%,42.27B
258,Enphase Energy Inc.,ENPH,0.08025,196.25,0.26,(0.13%),2023-03-27,"1,107,148",2.74,7.41,71.58,26.46,-,29.17B
259,ONEOK Inc.,OKE,0.079958,61.0,1.52,(2.55%),2023-03-27,"1,023,095",3.84,4.90,15.50,12.14,6.42%,27.28B
260,Zimmer Biomet Holdings Inc.,ZBH,0.079547,126.07,0.03,(0.02%),2023-03-27,"454,917",1.38,7.57,91.40,16.64,0.76%,26.72B
261,Eversource Energy,ES,0.07946,75.9,0.17,(0.22%),2023-03-27,"1,117,285",4.05,4.68,18.71,16.19,3.57%,26.70B
262,Lennar Corporation Class A,LEN,0.07927,98.36,-5.38,(-5.19%),2023-03-27,"497,400",12.98,10.76,7.99,9.65,1.45%,29.50B
263,Ulta Beauty Inc.,ULTA,0.079154,521.25,7.27,(1.41%),2023-03-27,"237,026",24.02,27.18,21.39,18.91,-,26.53B
264,Edison International,EIX,0.078539,67.65,-0.73,(-1.07%),2023-03-27,"864,003",1.59,5.14,42.93,13.31,4.31%,26.63B
265,CDW Corporation,CDW,0.07819,191.9,0.19,(0.10%),2023-03-27,"256,892",8.14,11.39,23.56,16.83,1.23%,26.76B
266,Global Payments Inc.,GPN,0.078007,100.61,2.18,(2.22%),2023-03-27,"1,072,614",0.43,11.86,226.28,8.30,1.02%,26.52B
267,United Rentals Inc.,URI,0.077275,375.05,4.27,(1.15%),2023-03-27,"664,603",29.75,44.14,12.46,8.40,1.60%,27.60B
268,Albemarle Corporation,ALB,0.076725,220.21,2.42,(1.11%),2023-03-27,"850,604",22.82,29.24,9.54,7.45,0.73%,26.27B
269,AmerisourceBergen Corporation,ABC,0.076198,158.0,1.59,(1.02%),2023-03-27,"258,964",8.24,12.60,18.99,12.42,1.24%,31.64B
270,PG&E Corporation,PCG,0.075734,15.65,0.01,(0.03%),2023-03-27,"5,248,309",0.84,1.35,18.55,11.61,-,38.72B
271,Tractor Supply Company,TSCO,0.07558,230.01,2.8,(1.23%),2023-03-27,"469,489",9.71,11.60,23.39,19.60,1.81%,25.32B
272,State Street Corporation,STT,0.075335,73.63,1.98,(2.76%),2023-03-27,"1,101,446",7.19,9.57,9.97,7.49,3.52%,25.71B
