Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
IDXX,484.01,482.51,481.08 x 800,481.91 x 900,478.73 - 484.84,317.06 - 554.97,"107,236","494,877"
TT,173.78,172.71,170.60 x 800,170.70 x 1300,170.05 - 173.64,120.64 - 196.22,"1,439,267","1,458,436"
BIIB,275.25,276.00,282.64 x 800,282.84 x 800,275.33 - 283.03,187.16 - 311.88,"417,550","976,752"
SYY,77.25,77.30,77.16 x 900,77.18 x 1100,76.99 - 77.75,70.61 - 91.53,"520,070","2,363,954"
O,62.84,62.96,63.04 x 800,63.05 x 800,62.47 - 63.10,55.50 - 75.40,"1,263,236","3,576,801"
CTAS,454.91,452.99,452.98 x 800,453.32 x 1100,451.90 - 457.46,343.86 - 470.23,"90,400","352,839"
JCI,57.28,56.93,55.70 x 800,55.71 x 1000,55.56 - 57.22,45.52 - 69.60,"3,137,722","3,726,118"
HES,140.92,141.50,139.97 x 800,140.08 x 1100,139.01 - 141.82,90.34 - 160.52,"404,577","1,868,498"
TRV,168.63,167.66,170.23 x 1000,170.30 x 800,167.13 - 170.34,149.65 - 194.51,"505,977","1,561,468"
TDG,735.64,728.87,727.67 x 800,728.38 x 800,722.72 - 733.46,499.63 - 772.01,"52,944","341,808"
DOW,54.26,53.65,53.99 x 1300,54.00 x 800,53.45 - 54.08,42.91 - 71.86,"1,413,540","5,276,967"
HSY,258.07,259.26,259.70 x 1200,259.88 x 800,258.89 - 261.02,201.42 - 261.02,"345,071","1,066,996"
MET,57.44,56.90,58.24 x 800,58.26 x 900,56.85 - 58.29,52.83 - 77.36,"1,828,083","5,168,996"
ROST,108.53,107.81,106.54 x 1000,106.58 x 1200,106.44 - 107.87,69.24 - 122.45,"901,875","2,399,270"
LHX,197.10,196.85,197.28 x 800,197.33 x 800,196.87 - 198.25,189.73 - 264.71,"231,359","1,317,667"
XEL,68.45,68.91,70.69 x 900,70.72 x 800,68.87 - 70.88,56.89 - 77.66,"1,618,778","3,007,232"
HLT,139.00,138.30,138.64 x 900,138.70 x 1400,137.57 - 139.00,108.41 - 167.99,"733,124","1,665,875"
YUM,131.60,132.01,132.88 x 800,132.90 x 900,131.87 - 133.01,103.97 - 133.77,"363,223","1,544,260"
AIG,49.87,49.28,50.06 x 800,50.07 x 900,49.24 - 50.08,45.66 - 65.73,"1,134,019","5,485,734"
COF,96.63,95.60,93.35 x 1000,93.38 x 1200,92.94 - 94.97,86.84 - 144.73,"1,229,838","3,510,085"
PCAR,70.80,70.35,67.78 x 1000,67.76 x 1200,67.69 - 70.46,51.33 - 76.72,"1,786,326","3,279,043"
