Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
CRL,197.89,195.00,196.49 x 1200,196.97 x 800,193.86 - 198.24,181.36 - 308.15,"83,526","580,211"
QRVO,97.25,96.50,94.96 x 800,95.05 x 800,94.64 - 96.50,75.38 - 121.27,"411,841","1,312,249"
CCL,9.85,9.78,9.65 x 900,9.66 x 2900,9.61 - 9.89,6.11 - 20.63,"13,116,930","40,961,531"
EMN,82.10,81.03,81.73 x 800,81.78 x 900,80.83 - 82.00,69.91 - 113.34,"257,142","1,043,065"
LYV,69.39,68.70,68.77 x 1300,68.78 x 900,68.20 - 69.11,64.25 - 114.84,"514,919","2,077,331"
BIO,462.32,459.99,465.23 x 1100,466.65 x 800,460.70 - 468.27,344.63 - 607.54,"25,204","167,706"
GEN,17.06,17.02,17.16 x 900,17.17 x 2200,16.97 - 17.22,15.52 - 27.33,"984,663","4,273,486"
TAP,51.94,52.02,52.23 x 900,52.26 x 900,51.93 - 52.47,46.69 - 60.12,"442,366","1,655,539"
GL,107.40,106.43,107.95 x 900,108.07 x 1100,106.22 - 108.16,87.87 - 123.85,"153,381","531,142"
REG,60.87,60.57,60.38 x 1000,60.42 x 800,60.05 - 60.63,51.97 - 73.41,"139,818","961,008"
AAL,14.16,14.06,13.79 x 2900,13.80 x 2200,13.71 - 14.14,11.65 - 21.42,"10,008,082","24,228,100"
ALLE,99.97,99.25,98.35 x 800,98.41 x 1200,98.19 - 99.86,87.33 - 123.46,"402,228","772,755"
PNW,78.68,78.87,80.31 x 1200,80.41 x 800,78.75 - 80.58,59.03 - 80.60,"279,421","961,621"
PNR,53.81,53.39,52.09 x 1200,52.11 x 1000,51.92 - 53.59,38.55 - 60.85,"411,864","1,702,640"
ROL,37.52,37.66,38.65 x 800,38.66 x 1200,37.56 - 38.73,31.43 - 43.06,"611,508","1,350,824"
FFIV,146.04,145.86,146.73 x 900,146.85 x 800,145.76 - 147.12,133.68 - 214.61,"185,230","513,134"
RHI,77.48,77.02,75.04 x 1000,75.11 x 900,74.93 - 77.10,65.40 - 118.41,"247,751","1,015,111"
AOS,65.83,65.46,64.51 x 800,64.55 x 800,64.40 - 66.22,46.58 - 71.87,"408,419","1,182,095"
XRAY,38.97,38.90,39.22 x 900,39.24 x 800,38.83 - 39.27,26.48 - 49.38,"591,855","2,037,665"
BBWI,36.55,36.24,35.37 x 900,35.36 x 1300,35.13 - 36.32,25.75 - 58.17,"722,693","3,025,622"
HII,208.33,207.45,207.98 x 1100,208.20 x 900,207.80 - 209.89,194.36 - 260.02,"86,558","430,368"
UHS,128.36,128.22,127.58 x 1000,127.71 x 900,127.36 - 128.86,82.50 - 158.28,"128,583","635,391"
NRG,33.55,33.50,33.84 x 800,33.85 x 800,33.50 - 34.03,30.25 - 47.82,"664,164","4,235,606"
BEN,26.67,26.35,26.55 x 800,26.56 x 1200,26.33 - 26.68,20.24 - 34.37,"1,159,747","4,034,508"
WRK,30.00,29.72,29.82 x 1000,29.83 x 1100,29.62 - 30.01,26.84 - 54.78,"457,088","2,400,281"
BXP,52.83,52.36,52.27 x 900,52.29 x 800,51.76 - 52.70,46.18 - 128.98,"587,438","1,751,090"
VFC,22.31,22.04,21.61 x 800,21.62 x 2200,21.53 - 22.09,20.03 - 58.88,"1,961,136","8,709,981"
AAP,121.34,121.00,120.19 x 1100,120.20 x 900,119.68 - 121.46,109.05 - 231.43,"334,816","1,367,357"
FRT,98.53,98.00,97.89 x 900,98.03 x 1100,97.25 - 98.27,86.43 - 128.13,"90,521","578,145"
IVZ,15.80,15.63,15.70 x 1200,15.71 x 1400,15.52 - 15.78,13.20 - 22.36,"1,230,921","5,332,186"
WHR,130.45,129.70,129.09 x 900,129.25 x 1000,128.77 - 130.16,124.10 - 199.07,"267,145","759,540"
SEE,45.78,46.72,46.58 x 800,46.63 x 900,46.16 - 47.07,41.24 - 69.97,"540,631","1,146,973"
NWSA,17.32,17.26,17.13 x 1000,17.14 x 1300,17.04 - 17.28,14.87 - 22.20,"631,502","2,942,744"
HAS,52.37,52.00,51.62 x 800,51.61 x 800,51.58 - 52.53,45.75 - 94.22,"367,221","2,046,485"
GNRC,101.80,101.31,99.15 x 800,99.34 x 800,98.00 - 102.65,86.29 - 308.92,"693,906","1,339,124"
AIZ,117.54,116.61,118.21 x 900,118.32 x 800,116.37 - 118.47,104.49 - 194.12,"113,577","439,934"
OGN,23.08,23.07,23.45 x 900,23.46 x 1000,22.95 - 23.60,20.96 - 39.09,"584,831","2,186,503"
DXC,24.88,24.66,24.72 x 800,24.73 x 800,24.52 - 24.87,22.46 - 36.00,"489,047","1,670,913"
NCLH,13.24,13.07,12.88 x 1400,12.89 x 1800,12.86 - 13.24,10.31 - 23.11,"5,257,770","14,906,060"
CMA,40.03,38.84,38.40 x 800,38.44 x 800,38.16 - 40.00,29.17 - 91.33,"2,005,855","3,394,665"
ALK,41.97,41.50,41.38 x 1000,41.39 x 800,41.24 - 41.80,37.20 - 61.55,"663,657","1,566,350"
MHK,95.54,94.66,92.77 x 900,92.92 x 800,92.74 - 95.08,87.02 - 159.00,"173,617","570,929"
RL,115.54,114.34,114.16 x 800,114.21 x 900,113.87 - 115.40,82.23 - 128.94,"369,989","938,047"
NWL,12.18,12.07,11.92 x 1400,11.93 x 1300,11.88 - 12.15,11.25 - 24.70,"1,045,266","4,754,086"
DVA,81.58,81.32,82.23 x 900,82.35 x 800,81.43 - 82.43,65.28 - 124.81,"148,637","660,631"
FOX,31.16,30.91,30.77 x 800,30.78 x 1000,30.73 - 31.13,26.35 - 37.06,"192,372","1,204,337"
ZION,27.71,27.73,27.07 x 900,27.11 x 1400,26.93 - 28.01,22.55 - 66.90,"3,676,073","3,823,242"
LNC,21.59,21.09,20.58 x 1300,20.59 x 800,20.50 - 21.43,19.74 - 69.91,"1,858,101","3,740,754"
FRC,13.79,13.48,13.24 x 800,13.24 x 3100,13.11 - 13.85,11.52 - 171.09,"17,000,482","31,608,796"
NWS,17.46,17.42,17.31 x 1000,17.32 x 800,17.23 - 17.44,15.15 - 22.46,"163,080","963,604"
DISH,8.65,8.58,8.43 x 900,8.44 x 2200,8.31 - 8.60,8.31 - 33.74,"2,499,730","6,597,129"
