Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
VZ,39.46,39.50,39.50 x 2900,39.67 x 3100,39.16 - 39.78,34.55 - 55.51,"21,546,616","19,909,727"
DHR,247.70,248.41,246.32 x 800,247.65 x 900,244.59 - 248.71,233.71 - 303.82,"2,042,866","2,531,888"
TXN,177.20,179.49,177.33 x 1000,178.55 x 900,174.57 - 179.23,144.46 - 186.30,"3,742,991","5,258,853"
CMCSA,37.92,38.04,37.62 x 800,37.85 x 3100,37.55 - 38.08,28.39 - 48.42,"18,953,564","19,360,091"
NEE,78.33,78.80,78.52 x 800,78.89 x 900,77.97 - 79.00,67.22 - 91.35,"5,427,720","9,325,164"
PM,98.74,98.75,96.98 x 1200,99.00 x 800,98.74 - 99.91,82.85 - 109.81,"3,469,537","4,646,667"
NFLX,342.35,339.34,338.60 x 900,339.49 x 800,332.71 - 340.48,162.71 - 379.43,"4,660,542","7,588,737"
BMY,69.25,69.69,70.74 x 3100,70.78 x 1100,69.60 - 71.07,65.28 - 81.44,"9,669,523","8,187,262"
NKE,120.90,119.51,120.05 x 800,120.22 x 1100,117.85 - 120.49,82.22 - 139.14,"4,256,901","6,123,616"
AMD,92.56,91.47,92.25 x 1200,92.35 x 1100,90.62 - 92.91,54.57 - 109.57,"47,778,378","62,372,635"
ORCL,94.89,94.33,95.63 x 1300,95.80 x 900,93.99 - 96.08,60.78 - 96.08,"9,146,244","7,204,475"
WFC,36.89,37.11,37.86 x 1800,37.86 x 900,37.07 - 38.10,35.25 - 50.19,"23,484,942","23,599,685"
RTX,98.76,98.77,98.16 x 800,98.61 x 800,98.06 - 99.51,80.27 - 106.02,"3,430,569","4,710,900"
T,19.60,19.65,19.61 x 1300,19.65 x 21500,19.51 - 19.78,14.46 - 21.53,"29,722,558","31,958,046"
UPS,189.40,188.33,186.00 x 1000,188.45 x 1000,186.53 - 189.56,154.87 - 209.39,"2,206,234","3,110,753"
QCOM,123.04,122.34,122.60 x 800,123.00 x 1000,121.05 - 123.84,101.93 - 156.66,"5,260,583","7,627,548"
INTC,32.83,32.60,32.78 x 800,32.81 x 3200,32.46 - 33.00,24.59 - 48.90,"28,517,431","47,762,041"
AMGN,253.37,254.36,251.50 x 1100,253.51 x 800,252.93 - 255.43,223.30 - 296.67,"2,047,949","2,524,424"
COP,107.75,106.90,106.03 x 1200,107.80 x 1000,105.89 - 107.74,78.30 - 138.49,"5,087,830","6,864,127"
HON,189.43,189.61,190.51 x 900,190.67 x 900,189.05 - 192.11,166.63 - 220.96,"2,780,387","3,141,022"
INTU,438.37,433.83,445.61 x 800,447.05 x 900,432.36 - 447.94,339.36 - 493.32,"1,673,506","1,620,920"
UNP,194.21,194.60,197.77 x 900,199.12 x 800,194.09 - 198.70,183.69 - 250.52,"3,280,101","3,631,246"
SBUX,104.90,104.90,104.61 x 900,104.88 x 1000,104.02 - 105.16,68.39 - 110.83,"3,155,669","5,962,470"
LOW,199.43,198.12,198.38 x 800,198.50 x 800,195.50 - 199.48,170.12 - 223.31,"1,909,714","3,107,266"
BA,210.00,210.00,211.00 x 900,211.29 x 1000,208.22 - 212.37,113.02 - 221.33,"5,618,125","6,080,667"
IBM,132.14,132.16,130.30 x 900,130.45 x 800,130.32 - 132.60,115.55 - 153.21,"3,048,099","5,151,848"
ELV,484.69,486.77,482.89 x 1000,485.80 x 800,480.72 - 488.41,440.02 - 549.52,"815,898","1,109,630"
PLD,122.27,122.27,122.64 x 800,122.59 x 800,121.15 - 122.77,98.03 - 174.54,"2,104,853","3,016,238"
SPGI,344.60,343.40,334.15 x 800,343.20 x 800,334.50 - 343.40,279.32 - 415.82,"1,309,958","1,417,469"
LMT,489.99,491.47,489.91 x 900,490.50 x 800,489.01 - 496.98,373.67 - 498.95,"1,093,500","1,466,840"
MS,83.82,83.90,84.19 x 1100,84.23 x 800,83.21 - 84.39,72.05 - 100.99,"3,877,838","7,986,674"
GS,321.53,320.38,321.83 x 800,321.86 x 1400,319.98 - 323.23,277.84 - 389.58,"1,310,998","2,998,390"
CAT,213.53,212.67,208.75 x 900,209.17 x 800,208.94 - 212.79,160.60 - 266.04,"4,180,062","3,412,369"
MDT,80.27,80.85,79.42 x 800,80.35 x 2200,80.08 - 81.32,75.77 - 114.31,"4,311,469","6,177,708"
GILD,83.65,84.07,83.16 x 800,83.50 x 900,83.26 - 84.83,57.17 - 89.74,"3,729,061","6,161,243"
GE,94.25,94.12,93.25 x 800,93.61 x 900,93.54 - 94.39,46.78 - 97.87,"6,404,896","7,794,690"
BKNG,"2,615.60","2,605.75","2,552.04 x 800","2,598.90 x 800","2,552.00 - 2,605.75","1,616.85 - 2,677.18","272,676","326,266"
DE,373.82,372.19,369.50 x 1000,369.65 x 1400,366.10 - 373.20,283.81 - 448.40,"1,846,703","1,582,577"
CVS,77.75,77.95,77.40 x 800,77.68 x 1300,77.16 - 78.48,72.11 - 107.73,"7,528,036","9,282,103"
BLK,656.04,656.60,656.30 x 800,670.00 x 800,653.98 - 659.06,503.12 - 785.65,"441,769","711,451"
SYK,288.03,288.07,285.70 x 900,288.16 x 900,286.24 - 288.75,188.84 - 290.12,"1,113,434","1,336,258"
MDLZ,71.40,71.66,70.80 x 2900,71.19 x 800,70.86 - 71.84,54.72 - 71.85,"5,024,143","6,030,556"
AMAT,117.32,114.18,113.61 x 800,114.68 x 1100,111.87 - 115.29,71.12 - 125.62,"6,274,987","6,568,066"
AMT,204.69,205.37,206.12 x 900,207.06 x 1000,203.53 - 207.01,178.17 - 282.47,"1,132,724","2,112,609"
NOW,467.33,463.95,472.01 x 800,472.75 x 900,457.46 - 473.65,337.00 - 534.13,"1,691,546","1,630,354"
ADI,190.37,188.74,187.01 x 1000,187.17 x 1000,186.83 - 189.80,133.48 - 198.25,"3,010,170","3,452,848"
AXP,161.08,160.63,158.10 x 1100,158.75 x 800,158.24 - 160.74,130.65 - 192.42,"3,051,995","3,681,485"
TJX,78.04,77.89,77.58 x 800,78.05 x 800,77.38 - 78.17,53.69 - 83.13,"3,086,032","5,305,287"
ISRG,257.99,258.33,256.01 x 800,259.50 x 1000,255.24 - 259.29,180.07 - 308.00,"1,026,602","1,699,716"
ADP,213.17,213.18,215.25 x 900,216.53 x 2200,212.66 - 216.37,196.61 - 274.92,"1,966,558","2,138,387"
REGN,825.22,823.43,820.30 x 1100,830.02 x 800,823.43 - 834.00,538.01 - 837.55,"549,992","648,229"
C,45.77,45.80,45.75 x 3200,45.96 x 2900,45.52 - 46.21,40.01 - 54.56,"11,918,129","20,156,620"
TMUS,149.12,149.40,147.05 x 1400,149.49 x 800,148.44 - 149.94,120.90 - 154.38,"3,544,873","5,243,554"
PGR,146.43,146.47,147.30 x 800,147.31 x 900,146.46 - 147.85,106.35 - 147.85,"1,902,932","2,464,064"
PYPL,73.61,73.27,74.86 x 800,74.94 x 800,72.28 - 75.00,66.39 - 113.24,"9,521,090","12,689,141"
MMC,168.20,168.02,169.17 x 800,169.45 x 800,167.79 - 169.69,143.33 - 183.14,"1,739,678","1,654,191"
VRTX,321.94,321.41,320.80 x 800,325.00 x 1200,321.13 - 324.63,233.01 - 325.19,"912,017","1,272,003"
CB,195.99,197.16,196.04 x 800,196.56 x 900,195.73 - 198.32,173.78 - 231.37,"1,248,251","1,877,098"
MO,44.43,44.40,44.45 x 4000,44.52 x 1800,44.26 - 44.62,40.35 - 57.05,"5,281,798","8,545,112"
CI,265.88,267.73,264.59 x 800,265.30 x 800,264.55 - 269.26,240.11 - 340.11,"1,709,129","1,763,777"
ZTS,167.65,168.27,167.47 x 900,168.94 x 1800,166.40 - 169.01,124.15 - 201.32,"1,594,861","2,164,475"
SO,71.50,71.91,72.14 x 900,72.57 x 800,71.67 - 72.55,60.71 - 80.57,"4,504,829","4,425,487"
DUK,98.84,99.50,98.87 x 800,99.99 x 800,98.40 - 99.78,83.76 - 116.33,"2,879,740","3,147,301"
TGT,165.24,162.57,165.22 x 900,165.50 x 1100,160.68 - 165.84,137.16 - 254.87,"2,552,870","3,187,743"
SCHW,48.87,48.80,49.29 x 800,49.69 x 1000,48.58 - 49.74,45.00 - 86.63,"28,155,030","23,472,872"
BDX,251.67,252.62,240.00 x 800,274.56 x 800,251.38 - 255.16,215.90 - 277.29,"1,369,835","1,094,111"
FISV,112.34,112.34,113.05 x 900,114.68 x 800,111.98 - 113.39,87.03 - 119.48,"2,456,884","3,607,854"
BSX,50.74,50.80,49.72 x 2200,50.52 x 800,49.74 - 50.80,34.98 - 50.87,"8,554,161","7,908,477"
SLB,50.70,50.68,49.50 x 2200,49.62 x 1100,49.50 - 50.84,30.65 - 59.45,"6,734,060","9,915,743"
CME,195.19,195.30,195.16 x 900,194.84 x 800,193.78 - 196.30,166.55 - 247.02,"1,370,087","1,903,532"
EOG,120.37,119.66,119.37 x 1100,119.89 x 1000,118.94 - 120.25,92.16 - 150.88,"2,843,209","3,980,609"
NOC,470.91,474.68,469.76 x 800,470.97 x 1000,468.29 - 476.20,430.94 - 556.27,"575,862","1,102,311"
LRCX,493.48,486.04,493.12 x 800,493.75 x 900,480.45 - 496.39,299.59 - 548.85,"960,471","1,299,235"
AON,321.56,321.25,321.36 x 900,322.25 x 800,320.50 - 322.62,246.21 - 341.98,"465,826","856,885"
EQIX,703.82,705.27,705.13 x 800,734.48 x 1200,697.96 - 711.64,494.89 - 776.35,"262,715","400,859"
HUM,516.23,519.78,514.80 x 800,520.59 x 800,515.29 - 524.62,410.87 - 571.30,"1,082,082","1,068,317"
MU,56.90,56.95,61.26 x 3000,61.45 x 1400,56.80 - 59.15,48.43 - 76.23,"21,384,090","15,527,287"
ITW,229.41,228.46,226.76 x 1000,228.18 x 1100,226.45 - 228.86,173.52 - 253.37,"1,061,449","1,122,298"
CL,75.36,75.59,74.41 x 900,75.62 x 1300,75.01 - 76.07,67.84 - 83.81,"3,259,895","4,531,708"
CSX,29.29,29.34,29.77 x 3000,30.05 x 3000,29.15 - 30.10,25.80 - 38.17,"17,923,356","14,043,551"
APD,283.88,282.34,278.11 x 800,285.88 x 900,280.70 - 283.65,218.88 - 328.56,"869,173","1,145,641"
ETN,158.47,157.80,154.14 x 1000,156.65 x 1000,155.71 - 158.90,122.50 - 178.75,"2,653,185","2,063,751"
WM,162.82,163.08,163.51 x 900,164.60 x 800,162.56 - 164.76,138.89 - 175.98,"3,290,538","1,915,274"
ATVI,85.38,85.50,85.11 x 800,85.40 x 800,85.18 - 85.65,70.94 - 85.88,"6,007,122","6,717,374"
ICE,106.22,106.31,108.18 x 900,109.10 x 800,106.24 - 108.32,88.60 - 132.30,"2,625,665","2,856,927"
MPC,132.71,132.95,128.60 x 800,129.20 x 800,128.38 - 133.10,77.62 - 138.83,"3,280,091","4,012,212"
CCI,133.72,134.67,131.50 x 900,134.73 x 1000,133.34 - 135.28,121.71 - 199.97,"1,081,406","1,998,300"
FCX,40.32,40.23,40.24 x 1200,40.46 x 1800,39.56 - 40.46,24.80 - 51.34,"6,602,168","12,868,075"
SNPS,378.36,375.62,376.56 x 800,375.89 x 1100,373.40 - 378.31,255.02 - 392.79,"848,436","797,467"
HCA,271.31,271.30,270.97 x 1100,276.40 x 900,269.49 - 272.56,164.47 - 279.02,"912,080","1,256,572"
CDNS,207.56,205.39,205.00 x 800,210.80 x 1100,205.33 - 209.26,132.32 - 214.14,"1,840,726","1,765,975"
MMM,102.29,102.35,101.59 x 1000,101.69 x 800,101.52 - 102.79,100.16 - 154.66,"2,419,239","3,637,177"
EL,239.43,240.63,240.34 x 900,241.74 x 900,236.69 - 242.06,186.47 - 285.79,"1,171,456","1,421,422"
FDX,229.93,231.01,232.00 x 1800,232.10 x 800,231.00 - 235.81,141.92 - 248.76,"3,675,742","2,145,479"
ORLY,858.35,856.02,844.31 x 900,878.89 x 1000,855.89 - 864.31,562.90 - 873.94,"247,165","457,906"
SHW,222.83,220.22,223.62 x 800,224.49 x 800,220.22 - 224.01,195.24 - 285.00,"1,366,221","1,636,466"
MRNA,154.61,155.00,158.00 x 900,158.72 x 1000,153.49 - 159.06,115.03 - 217.25,"2,618,730","3,549,279"
KLAC,381.61,374.32,373.64 x 800,374.50 x 800,367.94 - 378.89,250.20 - 429.46,"746,807","1,156,343"
EW,83.45,83.42,83.77 x 1200,84.13 x 800,82.76 - 83.91,67.13 - 131.10,"1,594,880","3,508,820"
GIS,86.52,86.74,85.05 x 1000,87.00 x 800,86.44 - 87.15,64.94 - 88.34,"3,556,228","3,638,051"
GD,228.98,229.36,227.85 x 1300,228.00 x 900,226.52 - 231.08,207.42 - 256.86,"1,511,484","1,238,456"
VLO,135.09,135.51,132.60 x 1000,132.80 x 1100,131.93 - 135.95,96.71 - 150.39,"3,167,797","4,347,438"
MCK,373.17,375.06,370.30 x 900,374.50 x 1000,369.72 - 376.19,298.69 - 401.78,"667,773","986,204"
USB,35.11,35.25,35.76 x 1400,35.83 x 1100,35.20 - 36.25,32.72 - 53.88,"12,008,372","13,021,224"
PXD,210.40,209.33,208.37 x 1000,212.98 x 1100,207.67 - 209.90,177.27 - 288.46,"1,694,770","2,614,175"
PSA,307.26,308.49,305.29 x 900,315.80 x 900,306.37 - 310.79,270.13 - 421.76,"990,147","1,117,679"
PNC,121.43,120.00,121.18 x 800,121.76 x 800,119.79 - 124.10,119.27 - 188.59,"3,507,218","3,479,588"
SRE,153.14,153.90,152.49 x 900,158.19 x 1300,153.71 - 155.67,136.54 - 176.47,"1,187,732","1,370,977"
AEP,94.54,95.33,94.56 x 800,94.87 x 1100,93.93 - 96.05,80.30 - 105.60,"2,991,555","3,016,029"
F,12.43,12.41,12.34 x 42300,12.35 x 27000,12.29 - 12.48,10.61 - 16.68,"36,355,779","69,140,619"
D,57.41,57.81,57.55 x 1000,58.10 x 800,57.22 - 58.14,52.03 - 88.78,"3,082,375","4,763,219"
GM,35.09,35.00,34.53 x 2200,34.62 x 900,34.50 - 35.09,30.33 - 43.63,"10,068,149","15,484,127"
PSX,104.43,104.81,102.01 x 800,103.35 x 800,102.47 - 105.34,74.02 - 113.53,"3,808,311","3,765,730"
EMR,83.09,82.82,83.31 x 1000,83.93 x 800,82.07 - 83.78,72.41 - 99.65,"2,868,803","3,611,538"
DG,212.01,210.86,212.01 x 900,212.68 x 1000,210.39 - 212.88,183.25 - 262.21,"1,094,655","2,034,953"
AZO,"2,494.44","2,500.81","2,521.00 x 800","2,522.44 x 1000","2,491.10 - 2,530.95","1,703.32 - 2,610.05","142,670","155,498"
MSI,286.14,283.95,275.67 x 800,283.00 x 800,281.94 - 284.65,195.18 - 286.24,"795,330","696,532"
MCO,302.85,302.02,298.60 x 1200,307.70 x 900,296.37 - 302.38,230.16 - 346.22,"564,454","881,943"
NSC,203.04,203.37,204.85 x 800,205.58 x 900,202.12 - 205.78,196.33 - 276.65,"3,111,568","1,718,667"
CMG,"1,697.42","1,687.26","1,683.55 x 1100","1,705.34 x 800","1,670.03 - 1,695.36","1,196.28 - 1,754.56","216,158","282,488"
ROP,437.40,438.30,430.06 x 800,436.12 x 900,433.35 - 436.60,356.22 - 487.47,"363,451","575,748"
APH,78.05,77.54,77.60 x 1000,77.62 x 2200,77.11 - 78.00,61.67 - 82.86,"1,714,564","2,470,175"
KMB,135.66,136.20,134.52 x 800,137.20 x 1200,135.72 - 137.10,108.74 - 144.53,"1,465,654","1,738,382"
OXY,64.57,64.05,63.03 x 1100,63.15 x 1200,62.97 - 64.11,51.53 - 77.13,"10,480,902","14,042,551"
NXPI,173.02,172.10,169.82 x 800,170.76 x 1000,169.98 - 172.77,132.08 - 198.28,"1,930,707","2,067,541"
MAR,162.56,163.00,162.36 x 900,163.64 x 900,161.38 - 163.48,131.01 - 195.90,"1,050,643","1,835,283"
DXCM,112.82,112.94,111.25 x 800,113.50 x 900,111.44 - 112.94,66.89 - 128.70,"1,834,680","2,451,019"
TFC,32.02,32.17,32.74 x 900,32.63 x 1400,32.04 - 33.06,28.70 - 54.69,"10,843,434","12,613,138"
ADM,79.41,79.45,78.72 x 800,78.73 x 1100,78.13 - 79.45,70.02 - 98.88,"2,413,943","3,266,317"
MCHP,79.52,78.46,78.70 x 800,78.84 x 800,77.34 - 79.90,54.33 - 87.76,"3,262,806","4,858,164"
EXC,42.93,43.13,42.80 x 1000,43.06 x 2200,42.77 - 43.32,35.19 - 50.71,"8,366,682","7,352,496"
CTVA,60.72,60.47,58.84 x 900,59.80 x 800,59.09 - 60.48,50.03 - 68.43,"3,045,857","3,593,917"
ADSK,197.55,196.89,196.32 x 800,198.29 x 900,194.69 - 198.32,163.20 - 235.01,"1,174,472","1,434,904"
MSCI,538.37,534.21,533.66 x 1000,533.94 x 800,532.55 - 537.39,376.41 - 572.50,"333,499","432,703"
FTNT,65.15,64.75,65.27 x 1000,65.70 x 800,64.26 - 65.58,42.61 - 71.52,"2,772,246","5,085,853"
AJG,195.28,195.40,197.37 x 900,205.19 x 800,195.33 - 197.41,148.24 - 202.37,"895,014","920,812"
ECL,166.10,165.10,162.21 x 800,167.56 x 800,164.13 - 167.15,131.04 - 185.50,"1,061,644","1,202,080"
BIIB,283.99,285.06,281.01 x 800,290.00 x 800,283.80 - 287.77,187.16 - 311.88,"710,345","928,998"
NEM,52.07,51.60,52.05 x 1200,52.11 x 1000,51.04 - 52.15,37.45 - 86.37,"8,403,955","7,988,283"
A,138.09,138.01,137.41 x 800,137.69 x 1300,136.60 - 138.12,112.52 - 160.26,"1,206,189","1,411,222"
PH,312.58,311.49,311.34 x 900,320.37 x 900,308.26 - 314.48,230.44 - 364.57,"714,695","984,222"
MNST,52.80,52.36,52.57 x 900,52.58 x 1200,51.29 - 53.05,40.26 - 54.52,"5,084,137","4,171,269"
TRV,170.31,170.75,170.93 x 1000,170.97 x 800,170.32 - 171.79,149.65 - 194.51,"787,160","1,548,109"
ANET,162.86,158.69,159.51 x 800,159.48 x 800,157.19 - 161.04,89.11 - 171.44,"2,677,545","2,559,993"
TEL,124.49,123.72,124.06 x 800,124.10 x 900,122.37 - 124.58,104.76 - 138.24,"1,559,008","1,822,204"
TT,170.49,170.09,163.38 x 1000,170.68 x 1100,168.43 - 172.55,120.64 - 196.22,"2,860,059","1,521,393"
O,62.71,62.97,62.25 x 1100,62.52 x 900,62.10 - 62.97,55.50 - 75.40,"3,177,606","3,566,241"
SYY,77.45,77.36,77.17 x 900,77.16 x 900,77.06 - 77.96,70.61 - 91.53,"2,125,450","2,359,359"
IDXX,476.69,474.94,471.02 x 800,473.12 x 900,468.86 - 475.19,317.06 - 553.33,"529,751","482,116"
HES,142.21,141.01,140.58 x 900,141.37 x 900,140.00 - 141.95,90.34 - 160.52,"1,419,077","1,858,556"
CTAS,451.74,451.50,450.16 x 800,452.38 x 1100,449.57 - 452.96,343.86 - 470.23,"238,855","349,416"
XEL,71.12,71.63,70.87 x 800,71.51 x 800,70.71 - 71.94,56.89 - 77.66,"2,316,478","3,018,914"
MET,58.66,59.00,59.02 x 1400,59.15 x 1000,58.78 - 59.40,52.83 - 77.36,"4,250,820","5,176,237"
DOW,54.64,54.38,54.64 x 2900,54.69 x 1000,54.21 - 55.06,42.91 - 71.86,"4,771,166","5,238,338"
JCI,55.70,55.55,55.85 x 1200,56.32 x 1000,54.90 - 56.24,45.52 - 69.60,"7,828,886","3,909,072"
HSY,259.43,259.93,259.82 x 1200,260.90 x 1000,258.00 - 261.17,201.42 - 261.17,"976,177","1,071,783"
AIG,50.24,50.47,51.03 x 3200,51.04 x 900,50.47 - 51.27,45.66 - 65.73,"3,439,173","5,462,037"
TDG,722.62,721.54,714.00 x 800,740.27 x 800,719.56 - 726.84,499.63 - 772.01,"175,877","338,177"
LHX,197.40,198.22,196.83 x 800,197.70 x 800,195.77 - 199.65,189.73 - 264.71,"954,534","1,308,298"
HLT,139.49,139.82,139.89 x 900,141.11 x 1100,139.09 - 140.77,108.41 - 167.99,"1,253,374","1,649,896"
YUM,131.94,132.15,131.87 x 800,132.39 x 900,131.62 - 132.38,103.97 - 133.77,"1,080,546","1,531,183"
ROST,106.46,106.19,105.76 x 1100,106.61 x 1100,104.94 - 106.53,69.24 - 122.45,"1,645,668","2,389,737"
CHTR,353.12,353.41,349.03 x 800,350.80 x 1000,349.33 - 354.67,297.66 - 572.08,"765,105","1,133,024"
NUE,143.47,142.99,144.91 x 1100,147.00 x 800,141.89 - 146.32,100.13 - 187.90,"2,292,168","1,879,248"
AFL,64.46,64.61,64.26 x 1100,64.27 x 1400,64.12 - 64.80,52.07 - 74.02,"2,355,744","2,685,856"
STZ,221.44,224.00,224.30 x 900,224.53 x 800,221.01 - 226.50,208.12 - 261.52,"2,025,486","1,342,400"
CNC,65.79,66.28,66.00 x 800,66.70 x 1000,65.77 - 66.71,61.71 - 98.53,"3,629,454","3,928,072"
IQV,197.09,197.00,190.65 x 800,200.21 x 900,194.12 - 197.00,165.75 - 254.94,"626,252","977,593"
COF,94.84,94.90,93.10 x 800,95.24 x 1200,94.37 - 95.68,86.84 - 144.73,"1,987,377","3,473,343"
ILMN,230.92,230.17,228.31 x 1400,230.82 x 900,226.55 - 230.96,173.45 - 369.34,"1,035,443","1,365,003"
WMB,29.94,30.07,29.30 x 3200,29.85 x 1400,29.47 - 30.09,27.80 - 37.97,"6,628,823","7,357,391"
SPG,109.95,110.31,108.92 x 1000,109.90 x 1100,108.73 - 110.57,86.02 - 134.80,"1,145,146","1,686,145"
PCAR,68.48,68.60,67.75 x 1000,68.51 x 900,68.00 - 69.23,51.33 - 76.72,"2,487,628","3,292,810"
ED,98.51,98.92,98.71 x 1000,99.13 x 900,97.57 - 99.35,78.10 - 102.21,"1,484,062","1,881,779"
CARR,42.10,42.11,41.84 x 1000,43.78 x 1800,41.29 - 42.31,33.10 - 49.17,"4,753,417","4,589,179"
KMI,17.71,17.74,17.69 x 3000,17.78 x 1800,17.63 - 17.79,15.78 - 20.20,"7,615,577","13,147,679"
PAYX,108.83,108.62,109.07 x 1100,109.40 x 800,108.09 - 109.39,105.66 - 141.27,"2,090,085","1,928,722"
DVN,53.53,53.23,52.92 x 1100,52.90 x 1100,52.72 - 53.53,44.03 - 79.40,"6,126,801","10,496,538"
WELL,70.56,71.67,69.60 x 900,71.45 x 1000,70.51 - 72.15,56.50 - 98.42,"1,858,229","2,312,114"
WBD,14.79,14.70,15.10 x 4000,15.14 x 800,14.41 - 15.24,8.82 - 27.50,"21,818,830","19,364,159"
MTD,"1,529.87","1,529.59","1,199.79 x 800","1,580.00 x 1000","1,496.57 - 1,526.43","1,065.55 - 1,609.25","96,402","88,888"
EA,126.15,125.80,125.07 x 800,125.62 x 800,124.75 - 126.05,108.53 - 142.79,"1,990,974","2,589,675"
FIS,53.72,53.63,55.39 x 1200,56.10 x 900,53.60 - 55.49,48.57 - 106.65,"5,629,596","6,734,464"
BK,44.88,44.91,44.85 x 900,45.41 x 1800,44.78 - 45.26,36.22 - 52.26,"3,207,345","5,934,869"
OTIS,79.39,79.09,76.82 x 1400,80.04 x 1100,77.89 - 79.10,62.49 - 87.33,"1,826,234","1,826,085"
ON,76.54,75.24,75.36 x 1800,75.49 x 1100,74.39 - 76.36,44.76 - 87.55,"3,526,250","7,042,169"
