Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
DGX,139.29,139.86,120.00 x 900,158.00 x 900,139.75 - 141.69,120.40 - 158.34,"919,140","1,189,716",,,,,,,
AES,23.57,23.74,23.20 x 800,26.95 x 900,23.72 - 24.14,18.62 - 29.89,"4,310,972","4,553,512",,,,,,,
FDS,410.68,413.23,404.88 x 900,470.00 x 800,410.71 - 415.17,345.92 - 474.13,"236,687","241,919",,,,,,,
HWM,41.94,42.90,41.84 x 1400,42.83 x 800,41.97 - 42.69,29.84 - 44.37,"2,712,341","3,026,162",,,,,,,
MOH,266.03,267.50,268.00 x 800,297.07 x 800,265.42 - 269.00,249.78 - 374.00,"374,558","524,627",,,,,,,
MOS,45.26,45.41,45.74 x 900,47.91 x 900,44.80 - 46.04,41.16 - 79.28,"3,594,625","4,346,919",,,,,,,
FMC,121.09,121.38,120.54 x 900,124.01 x 800,121.01 - 122.32,98.24 - 140.99,"516,521","788,725",,,,,,,
GRMN,98.82,99.49,99.74 x 1300,102.20 x 1000,99.06 - 101.29,76.37 - 119.21,"912,273","983,459",,,,,,,
FLT,205.56,207.53,161.00 x 800,211.71 x 900,206.99 - 211.19,161.69 - 265.30,"561,598","605,422",,,,,,,
BBY,75.32,75.84,78.20 x 800,79.00 x 1200,75.71 - 78.37,60.79 - 98.18,"2,621,806","2,398,600",,,,,,,
CFG,30.77,31.11,30.37 x 2200,30.42 x 900,29.95 - 31.25,28.79 - 45.34,"11,001,545","6,069,701",,,,,,,
IRM,51.79,52.01,48.55 x 800,53.00 x 800,52.00 - 52.95,43.33 - 58.61,"1,507,055","1,505,719",,,,,,,
MRO,23.71,23.80,23.91 x 800,24.17 x 2900,23.80 - 24.25,19.42 - 33.42,"9,419,833","10,486,906",,,,,,,
J,116.16,116.93,105.50 x 800,127.00 x 1000,116.47 - 117.64,106.78 - 150.32,"394,150","670,116",,,,,,,
TXT,70.30,70.82,67.81 x 800,72.99 x 800,70.14 - 70.93,57.11 - 76.11,"1,036,304","1,428,232",,,,,,,
LW,102.86,103.39,104.70 x 1000,104.79 x 1000,103.06 - 104.59,59.40 - 104.59,"1,448,636","1,428,640",,,,,,,
MKTX,387.86,389.52,380.04 x 900,402.70 x 900,383.42 - 392.07,217.44 - 397.27,"376,458","358,270",,,,,,,
PAYC,296.29,297.89,295.93 x 800,312.46 x 900,297.33 - 306.10,255.82 - 402.78,"533,118","516,477",,,,,,,
BG,95.34,95.99,95.32 x 900,98.66 x 1000,94.92 - 96.71,80.41 - 128.40,"1,290,326","1,902,203",,,,,,,
TYL,344.10,345.93,256.34 x 800,403.25 x 1100,345.26 - 356.54,281.11 - 450.96,"392,720","289,830",,,,,,,
EXPE,96.13,97.00,97.00 x 1000,97.15 x 1300,96.33 - 97.45,82.39 - 199.19,"1,995,459","2,683,632",,,,,,,
UAL,43.71,44.12,44.25 x 800,44.35 x 800,43.72 - 44.32,31.58 - 55.04,"5,140,438","8,622,558",,,,,,,
AVY,174.16,175.36,178.19 x 800,178.33 x 800,174.77 - 179.19,151.62 - 204.37,"420,760","505,490",,,,,,,
IPG,36.46,36.65,35.66 x 1000,37.24 x 3000,36.59 - 37.31,25.14 - 39.52,"3,235,173","3,451,445",,,,,,,
RCL,64.72,64.85,65.26 x 900,68.00 x 3200,64.78 - 65.65,31.09 - 87.68,"2,326,347","3,895,593",,,,,,,
LKQ,55.60,55.71,54.92 x 800,57.53 x 800,55.62 - 56.83,43.37 - 59.33,"1,543,651","1,704,093",,,,,,,
CF,71.88,72.02,72.12 x 800,72.49 x 900,71.64 - 72.89,67.95 - 119.60,"2,596,800","2,978,672",,,,,,,
JBHT,169.75,171.16,174.71 x 800,175.85 x 800,171.00 - 175.89,153.92 - 200.64,"873,955","737,361",,,,,,,
RE,356.11,357.39,175.73 x 1200,565.78 x 2200,353.95 - 359.69,244.58 - 395.00,"251,323","298,732",,,,,,,
CBOE,132.31,131.59,132.68 x 1000,135.00 x 1000,131.59 - 134.24,103.82 - 134.24,"572,715","703,622",,,,,,,
EVRG,60.45,60.54,60.84 x 1100,61.47 x 900,60.45 - 61.15,54.12 - 73.13,"1,345,575","1,425,817",,,,,,,
MGM,43.33,44.09,44.11 x 1200,44.70 x 1000,44.00 - 44.64,26.41 - 46.24,"3,749,038","4,253,503",,,,,,,
ETSY,108.78,109.21,110.00 x 900,111.50 x 1200,108.69 - 111.61,67.01 - 149.91,"2,673,429","3,258,022",,,,,,,
NTAP,62.57,62.63,63.25 x 800,64.18 x 1000,62.63 - 63.91,58.08 - 83.90,"1,313,734","1,868,195",,,,,,,
PTC,125.68,126.39,106.66 x 1300,145.49 x 1000,126.26 - 128.43,96.55 - 139.91,"653,099","721,880",,,,,,,
BRO,56.62,57.22,57.00 x 1000,59.06 x 1400,56.84 - 57.46,52.82 - 73.86,"852,585","1,166,024",,,,,,,
