#,Company,Symbol,Weight,Price,Chg,% Chg
159,Marriott International Inc. Class A,MAR,0.137567,164.14,-0.39,(-0.24%)
160,Dominion Energy Inc,D,0.137215,54.04,0.83,(1.56%)
161,Roper Technologies Inc.,ROP,0.136686,420.33,0.0,(0.00%)
162,Parker-Hannifin Corporation,PH,0.136283,338.47,0.0,(0.00%)
163,Motorola Solutions Inc.,MSI,0.134237,261.48,0.0,(0.00%)
164,Occidental Petroleum Corporation,OXY,0.134223,59.94,0.08,(0.13%)
165,Nucor Corporation,NUE,0.133587,159.0,0.12,(0.08%)
166,Trane Technologies plc,TT,0.133335,186.18,0.0,(0.00%)
167,DexCom Inc.,DXCM,0.133295,107.95,0.18,(0.17%)
168,Johnson Controls International plc,JCI,0.13242,61.46,0.0,(0.00%)
169,Autodesk Inc.,ADSK,0.132184,194.85,0.83,(0.43%)
170,MetLife Inc.,MET,0.131697,62.85,0.47,(0.75%)
171,MSCI Inc. Class A,MSCI,0.131293,522.27,0.0,(0.00%)
172,Chipotle Mexican Grill Inc.,CMG,0.130834,1552.51,1.8,(0.12%)
173,Corteva Inc,CTVA,0.130675,59.23,0.34,(0.58%)
174,Archer-Daniels-Midland Company,ADM,0.13059,77.0,0.34,(0.44%)
175,American International Group Inc.,AIG,0.126374,53.15,0.0,(0.00%)
176,Agilent Technologies Inc.,A,0.12593,136.0,0.28,(0.21%)
177,Kimberly-Clark Corporation,KMB,0.125721,122.34,0.0,(0.00%)
178,Travelers Companies Inc.,TRV,0.125477,175.68,0.0,(0.00%)
179,TE Connectivity Ltd.,TEL,0.124425,124.53,0.0,(0.00%)
180,Exelon Corporation,EXC,0.122247,40.05,-0.13,(-0.32%)
181,Realty Income Corporation,O,0.121281,61.65,0.27,(0.44%)
182,Dow Inc.,DOW,0.120286,53.88,0.0,(0.00%)
183,IDEXX Laboratories Inc.,IDXX,0.119486,455.31,0.45,(0.10%)
184,Fortinet Inc.,FTNT,0.119216,59.19,0.43,(0.73%)
185,Monster Beverage Corporation,MNST,0.119201,99.75,-0.42,(-0.42%)
186,L3Harris Technologies Inc,LHX,0.118706,204.0,0.63,(0.31%)
187,Hilton Worldwide Holdings Inc,HLT,0.118572,140.55,0.0,(0.00%)
188,Arthur J. Gallagher & Co.,AJG,0.118496,182.76,0.0,(0.00%)
189,PACCAR Inc,PCAR,0.118164,72.5,0.18,(0.25%)
190,Ecolab Inc.,ECL,0.118049,158.07,0.0,(0.00%)
191,Carrier Global Corp.,CARR,0.118005,45.99,0.35,(0.77%)
192,Capital One Financial Corp,COF,0.117704,98.19,0.0,(0.00%)
193,TransDigm Group Incorporated,TDG,0.116073,717.12,0.0,(0.00%)
194,Simon Property Group Inc.,SPG,0.115963,111.5,0.0,(0.00%)
195,Sysco Corporation,SYY,0.115008,73.41,0.28,(0.38%)
196,IQVIA Holdings Inc,IQV,0.114929,197.26,0.0,(0.00%)
197,Biogen Inc.,BIIB,0.114018,275.0,18.44,(7.19%)
198,Centene Corporation,CNC,0.113829,65.1,0.0,(0.00%)
199,Cintas Corporation,CTAS,0.113463,430.0,1.7,(0.40%)
200,Aflac Incorporated,AFL,0.113326,64.03,0.0,(0.00%)
201,Hess Corporation,HES,0.112308,130.5,0.87,(0.67%)
202,Charter Communications Inc. Class A,CHTR,0.112301,329.59,0.1,(0.03%)
203,Ross Stores Inc.,ROST,0.112091,104.84,0.67,(0.64%)
