#,Company,Symbol,Weight,Price,Chg,% Chg
375,Molina Healthcare Inc.,MOH,0.046658,261.9,0.55,(0.21%)
376,FLEETCOR Technologies Inc.,FLT,0.046635,195.88,0.0,(0.00%)
377,Atmos Energy Corporation,ATO,0.04653,109.16,0.0,(0.00%)
378,Jacobs Solutions Inc.,J,0.046223,115.0,-0.11,(-0.10%)
379,FactSet Research Systems Inc.,FDS,0.046208,395.63,0.0,(0.00%)
380,Iron Mountain Inc.,IRM,0.04616,51.33,0.0,(0.00%)
381,Expedia Group Inc.,EXPE,0.045723,98.32,0.03,(0.03%)
382,Synchrony Financial,SYF,0.045637,32.35,0.22,(0.68%)
383,Textron Inc.,TXT,0.045637,68.3,-0.96,(-1.39%)
384,J.B. Hunt Transport Services Inc.,JBHT,0.045449,175.26,-0.19,(-0.11%)
385,Royal Caribbean Group,RCL,0.045401,67.2,0.34,(0.51%)
386,Garmin Ltd.,GRMN,0.045359,95.04,0.0,(0.00%)
387,KeyCorp,KEY,0.045064,15.88,0.22,(1.40%)
388,LKQ Corporation,LKQ,0.044364,54.6,0.0,(0.00%)
389,Essex Property Trust Inc.,ESS,0.044315,211.37,0.0,(0.00%)
390,Everest Re Group Ltd.,RE,0.044166,356.9,0.0,(0.00%)
391,Avery Dennison Corporation,AVY,0.04366,170.74,0.0,(0.00%)
392,Lamb Weston Holdings Inc.,LW,0.043279,97.63,0.0,(0.00%)
393,MGM Resorts International,MGM,0.042828,42.65,-0.03,(-0.07%)
394,NetApp Inc.,NTAP,0.04279,63.36,1.14,(1.83%)
395,Paycom Software Inc.,PAYC,0.042335,271.03,-2.25,(-0.82%)
396,Pool Corporation,POOL,0.042114,349.0,0.59,(0.17%)
397,Incyte Corporation,INCY,0.041245,73.0,0.99,(1.37%)
398,Etsy Inc.,ETSY,0.041168,106.01,0.03,(0.03%)
399,Interpublic Group of Companies Inc.,IPG,0.040569,33.77,0.0,(0.00%)
400,Evergy Inc.,EVRG,0.040448,58.45,0.89,(1.55%)
401,MarketAxess Holdings Inc.,MKTX,0.040399,345.68,-1.05,(-0.30%)
402,Tyler Technologies Inc.,TYL,0.040394,322.74,12.94,(4.18%)
403,Snap-on Incorporated,SNA,0.040084,240.16,0.0,(0.00%)
404,International Paper Company,IP,0.039785,35.78,0.26,(0.73%)
405,W. R. Berkley Corporation,WRB,0.039599,62.66,0.0,(0.00%)
406,Brown & Brown Inc.,BRO,0.038965,54.92,0.0,(0.00%)
407,C.H. Robinson Worldwide Inc.,CHRW,0.038965,106.71,4.39,(4.29%)
408,Cboe Global Markets Inc,CBOE,0.038876,118.65,0.0,(0.00%)
409,Packaging Corporation of America,PKG,0.038793,132.42,0.0,(0.00%)
410,Alliant Energy Corp,LNT,0.038588,49.9,-0.29,(-0.58%)
411,UDR Inc.,UDR,0.038478,39.92,0.0,(0.00%)
412,Leidos Holdings Inc.,LDOS,0.038424,92.5,0.0,(0.00%)
413,PTC Inc.,PTC,0.038419,118.0,-0.38,(-0.32%)
414,PulteGroup Inc.,PHM,0.038257,53.47,0.0,(0.00%)
415,Catalent Inc,CTLT,0.037811,67.4,-0.52,(-0.77%)
416,Trimble Inc.,TRMB,0.037664,48.45,0.17,(0.35%)
417,Seagate Technology Holdings PLC,STX,0.0375,61.75,0.0,(0.00%)
418,Healthpeak Properties Inc.,PEAK,0.03721,22.88,1.46,(6.82%)
419,Stanley Black & Decker Inc.,SWK,0.036991,81.28,0.56,(0.69%)
420,Viatris Inc.,VTRS,0.036837,10.0,0.0,(0.00%)
421,APA Corporation,APA,0.03672,35.96,0.01,(0.03%)
422,Kimco Realty Corporation,KIM,0.036455,19.51,0.73,(3.86%)
423,Jack Henry & Associates Inc.,JKHY,0.036165,158.08,0.0,(0.00%)
424,Nordson Corporation,NDSN,0.035753,207.4,-5.52,(-2.59%)
425,Camden Property Trust,CPT,0.035737,107.38,0.47,(0.44%)
426,Akamai Technologies Inc.,AKAM,0.035554,73.1,1.14,(1.58%)
427,BorgWarner Inc.,BWA,0.035492,47.94,0.0,(0.00%)
428,Western Digital Corporation,WDC,0.034986,36.1,0.04,(0.11%)
429,Masco Corporation,MAS,0.034973,50.1,0.0,(0.00%)
430,Wynn Resorts Limited,WYNN,0.034968,108.34,0.0,(0.00%)
431,Hormel Foods Corporation,HRL,0.034911,40.3,1.12,(2.86%)
432,EQT Corporation,EQT,0.03474,30.41,0.0,(0.00%)
433,Bio-Techne Corporation,TECH,0.034654,71.35,-0.62,(-0.86%)
434,Loews Corporation,L,0.034459,57.35,0.0,(0.00%)
435,Celanese Corporation,CE,0.034422,109.14,0.0,(0.00%)
436,Host Hotels & Resorts Inc.,HST,0.034408,15.9,0.0,(0.00%)
437,Brown-Forman Corporation Class B,BF.B,0.034222,61.52,0.0,(0.00%)
438,Domino's Pizza Inc.,DPZ,0.033688,300.16,0.0,(0.00%)
439,NiSource Inc,NI,0.033632,26.71,0.0,(0.00%)
440,Ceridian HCM Holding Inc.,CDAY,0.032863,67.45,0.0,(0.00%)
441,CarMax Inc.,KMX,0.032544,63.73,0.0,(0.00%)
442,Charles River Laboratories International Inc.,CRL,0.032479,201.0,-1.54,(-0.76%)
443,Henry Schein Inc.,HSIC,0.032474,77.04,0.0,(0.00%)
444,Campbell Soup Company,CPB,0.032178,52.3,-0.21,(-0.40%)
445,Teleflex Incorporated,TFX,0.032176,222.88,0.0,(0.00%)
446,Paramount Global Class B,PARA,0.031989,20.0,0.11,(0.55%)
447,Globe Life Inc.,GL,0.031942,113.97,0.0,(0.00%)
448,Tapestry Inc.,TPR,0.031865,41.44,0.08,(0.19%)
449,Caesars Entertainment Inc,CZR,0.031822,47.32,0.01,(0.02%)
450,Bio-Rad Laboratories Inc. Class A,BIO,0.031512,478.24,0.0,(0.00%)
451,Match Group Inc.,MTCH,0.031283,35.46,-0.03,(-0.08%)
452,Gen Digital Inc.,GEN,0.031038,16.55,-0.06,(-0.36%)
453,Fox Corporation Class A,FOXA,0.030995,33.64,0.5,(1.51%)
454,American Airlines Group Inc.,AAL,0.030886,15.5,0.04,(0.26%)
455,Eastman Chemical Company,EMN,0.030848,80.75,0.0,(0.00%)
456,Qorvo Inc.,QRVO,0.03061,95.06,-0.27,(-0.28%)
457,Juniper Networks Inc.,JNPR,0.030373,30.8,0.0,(0.00%)
458,Molson Coors Beverage Company Class B,TAP,0.030267,52.31,0.0,(0.00%)
459,Allegion Public Limited Company,ALLE,0.030102,107.49,0.0,(0.00%)
460,Carnival Corporation,CCL,0.02948,9.69,0.0,(0.00%)
461,Live Nation Entertainment Inc.,LYV,0.029399,67.07,0.42,(0.63%)
462,Regency Centers Corporation,REG,0.027854,57.28,-1.3,(-2.22%)
463,Pentair plc,PNR,0.027124,52.68,0.0,(0.00%)
464,Boston Properties Inc.,BXP,0.026456,57.44,0.0,(0.00%)
465,Robert Half International Inc.,RHI,0.026381,77.41,0.0,(0.00%)
466,Bath & Body Works Inc.,BBWI,0.026317,37.25,-0.03,(-0.08%)
467,A. O. Smith Corporation,AOS,0.026288,66.1,0.0,(0.00%)
468,Pinnacle West Capital Corporation,PNW,0.025832,74.01,0.0,(0.00%)
469,F5 Inc.,FFIV,0.025508,138.5,0.0,(0.00%)
470,Huntington Ingalls Industries Inc.,HII,0.025354,207.96,0.0,(0.00%)
471,Comerica Incorporated,CMA,0.024754,59.23,0.42,(0.71%)
472,Rollins Inc.,ROL,0.024558,34.67,0.0,(0.00%)
473,DENTSPLY SIRONA Inc.,XRAY,0.024387,36.93,0.0,(0.00%)
474,Universal Health Services Inc. Class B,UHS,0.024331,117.68,0.0,(0.00%)
475,Advance Auto Parts Inc.,AAP,0.023886,128.04,0.0,(0.00%)
476,WestRock Company,WRK,0.023697,29.8,-0.01,(-0.03%)
477,NRG Energy Inc.,NRG,0.023601,31.65,0.02,(0.06%)
478,Invesco Ltd.,IVZ,0.023526,16.41,0.0,(0.00%)
479,Franklin Resources Inc.,BEN,0.023004,27.57,0.0,(0.00%)
480,Federal Realty Investment Trust,FRT,0.022828,99.0,2.5,(2.59%)
481,V.F. Corporation,VFC,0.02239,21.99,0.21,(0.96%)
482,Generac Holdings Inc.,GNRC,0.02236,113.66,0.5,(0.44%)
483,Whirlpool Corporation,WHR,0.022213,133.82,2.43,(1.85%)
484,Sealed Air Corporation,SEE,0.021286,45.27,0.0,(0.00%)
485,Hasbro Inc.,HAS,0.01982,49.0,-0.21,(-0.43%)
486,Assurant Inc.,AIZ,0.019405,116.75,0.0,(0.00%)
487,News Corporation Class A,NWSA,0.019311,16.81,0.8,(5.00%)
488,Zions Bancorporation N.A.,ZION,0.018941,40.25,-0.1,(-0.25%)
489,SVB Financial Group,SIVB,0.018697,43.74,4.49,(11.44%)
490,DXC Technology Co.,DXC,0.018419,25.51,0.0,(0.00%)
491,Norwegian Cruise Line Holdings Ltd.,NCLH,0.0181,14.11,0.05,(0.36%)
492,Alaska Air Group Inc.,ALK,0.017879,46.98,0.88,(1.91%)
493,Organon & Co.,OGN,0.017838,22.5,-0.18,(-0.79%)
494,Signature Bank,SBNY,0.017195,70.51,0.51,(0.73%)
495,Mohawk Industries Inc.,MHK,0.015621,97.87,0.0,(0.00%)
496,Ralph Lauren Corporation Class A,RL,0.014981,113.33,0.0,(0.00%)
497,Newell Brands Inc,NWL,0.014918,12.4,0.16,(1.31%)
498,Fox Corporation Class B,FOX,0.013672,30.15,-0.36,(-1.18%)
499,Lincoln National Corp,LNC,0.012865,26.24,0.58,(2.26%)
500,DaVita Inc.,DVA,0.012667,74.68,0.0,(0.00%)
501,DISH Network Corporation Class A,DISH,0.008462,10.59,0.06,(0.57%)
502,Lumen Technologies Inc.,LUMN,0.007995,2.68,0.0,(0.00%)
503,News Corporation Class B,NWS,0.006112,16.18,0.0,(0.00%)
